index,text,answer,document_name,split
0,"In the event the closing does not occur, the Conversion is terminated or otherwise abandoned, or the terms of the Conversion are substantially amended so as to materially and adversely change the role of Capital Resources, Capital Resources shall be reimbursed for all reasonable legal fees and out-of-pocket expenses for rendering financial advice to the Association concerning the structure of the Conversion, preparing a market and financial analysis, performing due diligence and assisting in the preparation of the Application for Conversion and the Registration Statement, which shall be paid upon such termination, abandonment or amendment or within five days of such event.",Yes,AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT.PDF,train
1,The payment of such amount is intended to constitute liquidated damages to the Agent and the Lenders and shall not be deemed to constitute a forfeiture or penalty.,Yes,SUNTRONCORP_05_17_2006-EX-10.22-MAINTENANCE AGREEMENT.PDF,train
2,"In addition to the foregoing, upon termination of this Agreement by us for cause as described in Section 10, you agree to pay to us within fifteen (15) days after the effective date of this Agreement's termination, in addition to the amounts owed hereunder, liquidated damages equal to the average monthly Unit Franchise Performance Royalty Fee and Franchise Sales Royalty Fee you paid during the twelve (12) months of operation preceding the effective date of termination multiplied by (a) twenty-four (24) (being the number of months in two (2) full years), or (b) the number of months remaining in the Agreement had it not been terminated, whichever is lower.",Yes,SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1.pdf,train
3,"Notwithstanding the foregoing, ExxonMobil may assign this Agreement to its Affiliates and FCE may assign this Agreement to any of its wholly-owned and wholly-controlled Affiliates, with prior written notice to the other Party, provided that (i) such assignment by FCE shall be void if at any point such Affiliate ceases to be both wholly-owned and wholly- controlled by FCE, (ii) Article 12, including but not limited to Paragraphs 12.03, 12.04 and 12.05, shall be applicable to both FCE and any Affiliate assignee of FCE, and (iii) no assignment pursuant to this sentence will relieve the Parties of their obligations under this Agreement.",No,FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,train
4,"Aucta, for itself and its Affiliates, hereby grants to ETON in accordance with the terms and conditions of this Agreement, an exclusive (even as to and against Aucta in the Territory) right and license, including the right to sublicense, to the Products (or any components thereof), Dossiers, and all current and future Aucta Background Intellectual Property that is owned or controlled by Aucta or its Affiliates for ETON to develop, manufacture, import, use, promote, distribute, market, advertise, offer for sale or sell (collectively, ""Market"") the Products in and for the Territory.",No,EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,train
5,"In addition, in the event of a material breach by WYZZ of its obligations hereunder, Nexstar shall be entitled to terminate this Agreement and exercise its rights pursuant to Section 25(b) hereof (except that Nexstar may not assert consequential, special or punitive damages or any claim for lost profits).",No,NEXSTARFINANCEHOLDINGSINC_03_27_2002-EX-10.26-OUTSOURCING AGREEMENT.PDF,train
0,"In the case where any specific Product, shipped to IBM from MSL within any [*] month experiences a defect rate of [*]% or greater, resulting from a common cause due to MSL's non-conformance to specifications, drawings, other descriptions furnished or adopted by IBM, or due to workmanship, MSL will accept the cost of a Product Recall.",Yes,MANUFACTURERSSERVICESLTD_06_05_2000-EX-10.14-OUTSOURCING AGREEMENT.PDF,test
1,"In the event a Party has, in any twelve (12) month period, more than three (3) Monthly Performance Failures, then the defaulting Party shall pay a penalty to the Party not in default, which the Parties acknowledge is a pre-estimation of damages suffered by the non-defaulting Party due to the current month's Monthly Performance Failure (""Default Month"").",Yes,DYNAMEXINC_06_06_1996-EX-10.4-TRANSPORTATION SERVICES AGREEMENT.PDF,test
2,"In the event Duval does not meet the Minimum Annual Performance Requirements for a Contract Year, $375,000 of the Additional License Fee will be deemed to be unearned.",Yes,MOSSIMOINC_04_14_2000-EX-10.14-ENDORSEMENT AGREEMENT.PDF,test
3,Any unearned Additional License Fee is fully &bbsp; refundable and due Company no later then January 31st of the following year.,Yes,MOSSIMOINC_04_14_2000-EX-10.14-ENDORSEMENT AGREEMENT.PDF,test
