index,text,answer,document_name,split
0,"Qualigen shall provide to Sekisui and for the benefit of Sekisui's customers of Products a standard commercial written warranty that the Products will be free of defects in materials or workmanship starting from the date the Product has been received by Sekisui's customer and ending after the length of time stated for the applicable Product on Exhibit D hereto (the ""User Warranty"").",Yes,RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement.pdf,train
1,Supply of drugs/medications and spare parts during and after the warranty period.,Yes,KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF',train
2,Vendor will provide an initial supply of spare Products and parts as Distributor may reasonably required in accordance with Sections 8 and 10.3 to permit Distributor to offer a six-month warranty on the Products to customers and to enable Distributor to provide a warranty service to customers,Yes,ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT.PDF,train
3,Either Party may terminate this agreement for non-cause with a sixty (60) written notice.,No,BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement.pdf,train
4,"Licensor reserves the right to terminate this Agreement immediately upon written notice for any reason, including if the usage of the Brand is not in compliance with the standards and policies.",No,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.pdf,train
5,"Upon expiration of this Agreement or termination by either party, Power2Ship may sell off any remaining inventory of the Products or Licensed Software acquired prior to termination.",No,"VISIUMTECHNOLOGIES,INC_10_20_2004-EX-10.20-DISTRIBUTOR AGREEMENT.PDF",train
0,"Todos warrants that for a period of one (1) year from the date of delivery of each Product to the Reseller, the Product, except for those components that have a shorter expiration date as set forth on Exhibit A, shall perform substantially in accordance with the Product's documentation and specifications, and shall be free from all defects in materials, manufacture, and workmanship.",Yes,TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement.pdf,test
1,"At all times during the Term of this Agreement, Zanotti shall warrant the Products to purchasers of AETRU Systems in accordance with the terms of its standard warranty attached hereto as Exhibit ""C"" (""End User Warranty""), as such End User Warranty may be modified from time to time by Zanotti, provided however that at no time shall such End User Warranty provide for a warranty coverage period of less than thirty-six (36) months from the time of purchase by the initial end-user.",Yes,AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT.PDF,test
2,"The warranty period for workmanship and all Services provided<omitted>hereunder, including the Build Services contemplated in the Build Addendum, shall commence upon Location Acceptance of the applicable Cell Site and continue for a period equal to [***] from Location Acceptance of the applicable Cell Site (the ""Workmanship Warranty Period"").",Yes,AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement.pdf,test
3,"Within [***] days after receipt of the Licensed Products and/or their matching placebo hereunder, NeuroBo may, in its discretion, perform a quality control test (the ""Product Test"") in accordance with the methods of the test on such Licensed Products and/or their matching placebo for acceptance (the ""Product Test Methods""), which shall be separately agreed in writing by and between Dong-A and NeuroBo and attached hereto as Exhibit B, as may be amended by the Parties' agreement in writing from time to time.",Yes,NeuroboPharmaceuticalsInc_20190903_S-4_EX-10.36_11802165_EX-10.36_Manufacturing Agreement_ Supply Agreement.pdf,test
