index,answer,text,document_name,split
0,Yes,The obligations and restrictions imposed by this Agreement will not apply to any information that: d. was independently developed by the Recipient without use of the Discloser's Confidential Information; or , 064-19 Non Disclosure Agreement 2019.pdf,train
1,Yes,"Recipient shall have no obligation of confidentiality with respect to any information which: 5.4. is independently developed by an employee, agent or consultant of Recipient without reference to the Confidential Information; or Disclosing Party understands that Recipient may develop or have developed information internally, or receive or have received information from other parties that is similar to the Confidential Information.  ",01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,train
2,Yes,"2. The term Confidential Information shall not include information, which is: (d) independently developed by employees, agents or consultants of the Receiving Party; or ",130806ca141.pdf,train
3,Yes,"Receiver may disclose Confidential Information if the same: (g) is hereafter independently developed by Receiver without the aid, application or use of any Confidential Information; ",18268-001%20Rev%20B%20Form%20Version%20in%20PDF.pdf,train
4,No,"5.3 Subject to section 5.4, within 10 days of a written request by the Disclosing Party, the Receiving Party shall, unless otherwise precluded by any legal obligation: (d) retain electronic Confidential Information described in subsection 5.3(c) only for the period it normally maintains such records, which electronic Confidential Information shall remain subject to the provisions of this Agreement until destroyed. 5.4 Notwithstanding anything in section 5.3, the Receiving Party shall not be obliged to return or destroy any derivative materials or reports prepared by the Receiving Party for the Permitted Purpose, which materials and reports shall nonetheless remain subject to the confidentiality obligations in this Agreement. ",CON-NDA-PTL-01-2012-v1%20Non-Disclosure%20Agreement%20and%20Checklist.pdf,train
5,No,"All written Confidential Information delivered by one party hereto to the other party pursuant to the Agreement shall be and remain the property of the delivering party, and upon the written request of the delivering party, the receiving party shall  ",1010552_0000912057-01-520246_a2051644zex-99_20.htm,train
6,No,"c. “Representatives” shall mean as to any Person, its directors, officers, employees, agents and advisors (including, without limitation, financial advisors, attorneys and accountants). a. The Receiving Party shall hold confidential and not disclose to any Person, without the prior written consent of the Disclosing Party, all Confidential Information and any information about the Proposed Transaction, or the terms or conditions or any other facts relating thereto, including, without limitation, the fact that discussions are taking place with respect thereto or the status thereof, or the fact that Confidential Information has been made available to the Receiving Party or its Representatives; provided, however, that the Receiving Party may disclose such Confidential Information to its Representatives who are actively and directly participating in its evaluation of the Proposed Transaction or who otherwise need to know the Confidential Information for the purpose of evaluating the Proposed Transaction; ",916457_0000916457-14-000028_exhibit104-confidentiality.htm,train
7,No,"Personnel means any and all staﬀ, employees, directors, oﬃcers and professional advisors of a Party 4.1 A Receiving Party shall only disclose or reveal any Conﬁdential Information disclosed to it to those of its Personnel who are required in the course of their duties to receive and consider the same in so far as is necessary to fulﬁl the Purpose. ",5bfbcabf0627e70bdcfc5b32_nda-ready4s.pdf,train
0,Yes,2.2. Confidential Information does not include information which: d) which is independently developed by Receiving Party; or ,5-NSK-Confidentiality-Agreement-for-Suppliers.pdf,test
1,Yes,The obligations under the NDA do not apply to information of the Disclosing Party which is: d) developed independently by the Receiving Party without use of or reference to the Confidential Information received. ,54c808c1b20e4490b1300ad2ce3b9649.pdf,test
