index,answer,text,document_name,split
0,Yes,"The Parties will: a. limit disclosure of any Confidential Information to its directors, officers, employees, agents or representatives (collectively ""Representatives"") who have a need to know such Confidential Information in connection with the Transaction, and only for that purpose; The Receiving Party agrees to use the same degree of protection it uses for its own trade secret information, and in no event less than reasonable efforts, to prevent and protect the Confidential Information, or any part thereof, from disclosure to any person other than the Receiving Party's employees having a need for disclosure in connection with the Receiving Party's authorized use of the Confidential Information. ", 064-19 Non Disclosure Agreement 2019.pdf,train
1,Yes,Recipient agrees to limit disclosure of Confidential Information to employees and employees of Affiliates having a specific need to know such Confidential Information for the Purpose and in the case of Affiliates only to the extent that such Affiliate is under obligation to hold such information in confidence and is made aware of these terms and conditions.  ,01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,train
2,Yes,"The Disclosee will procure that prior to the disclosure to any other person (including any professional advisor) of any Confidential Information, such other person is made aware of the provisions of this Agreement and the fact that the Disclosee will be liable. ",12032018_NDA_The%20Munt_EN.pdf,train
3,Yes,"Each Party shall be responsible for any breach of this Agreement by such Party, its employees, agents, officials, representatives or consultants acting within the scope of their engagement or employment. ",130806ca141.pdf,train
4,No,"____________________ , agrees that, in consideration for being shown or told about certain trade secrets or property belonging to Navidec, Incorporated, ____________________, shall not disclose or cause to be disclosed, disseminated or distributed any information concerning said trade secret or property to any person, entity, business or other individual or company without the prior written permission of Navidec, Incorporated. ",1023734_0000912057-96-023266_document_16.txt,train
5,No,"""Confidential Information"" includes, without limitation, information in tangible or intangible form relating to and/or including released or unreleased Disclosing Party software or hardware products, the marketing or promotion of any Disclosing Party product, Disclosing Party's business policies or practices, and information received from others that Disclosing Party is obligated to treat as confidential.  ",1125892_0000950133-00-004441_w41075a1ex10-7.txt,train
6,No,"Proprietary Information does not include, however, information that  (iv) was independently developed by the Receiving Party or any of its Representatives without reference to the ",915191_0001047469-17-003155_a2231967zex-99_8.htm,train
7,No,7. Confidential Information shall not include information which is: f. Independently developed by or for the Receiving Party. ,non-disclosure-agreement-en.pdf,train
0,Yes,"Receiver shall:  (iii) provide such information only to those of its personnel who:  (y) have a need to know the same to further VIDAR’s interests; and  (z) become a party to and bound by a confidentiality agreement at least as restrictive as this Agreement prior to receiving any such information.  An employee, director, officer, manager, member, partner, affiliate, associate, agent, attorney, accountant, consultant, banker, business adviser, financial adviser, scientific adviser or technical adviser of Receiver may become a party to this Agreement by signing a counterpart hereof, a copy of which shall be provided to VIDAR within five days of signature. ",18268-001%20Rev%20B%20Form%20Version%20in%20PDF.pdf,test
1,Yes,"Representatives: any employees, officers, directors, professional advisors or consultants in relation to each Party and any of its Affiliates, who are actively and directly engaged in the Purpose; 4.1. Notwithstanding clause 3.1 of this Agreement, the Receiving Party may disclose the Confidential Information: a) to its and its Affiliate’s Representatives, provided always that the Receiving Party procures that such Representatives shall comply with the confidentiality obligations as set out in clause 3 of this Agreement, and the Receiving Party agrees to be liable for the actions or omissions of such Representatives in relation to the Confidential Information as if they were the actions or omissions of the Receiving Party; and ",5-NSK-Confidentiality-Agreement-for-Suppliers.pdf,test
