index,question,answer,split
0,"Consider the country of Afghanistan. Does the country permit a parent to confer his or her citizenship on a child born in the territory of the country of citizenship and, if so, under which conditions?",Yes,train
1,Consider the country of Bolivia. Does the country provide for period of residence in a residence-based acquisition?,Yes,train
2,"Consider the country of Bhutan. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",No,train
3,"Consider the country of Zimbabwe. Does the country provide for involuntary loss of citizenship by a person who is adopted by or in legal guardianship of a citizen of another country and, if so, under which conditions?",No,train
0,"Consider the country of Afghanistan. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,test
1,"Consider the country of Afghanistan. Does the country provide for a child to acquire citizenship based on birth in the territory irrespective of the citizenship and birthplace of his/her parents and, if so, under which conditions?",No,test
2,"Consider the country of Afghanistan. Does the country provide for a child to acquire citizenship based on birth in the territory if one parent was also born there, irrespective of his/her citizenship, and, if so, under which conditions?",No,test
3,"Consider the country of Afghanistan. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",No,test
4,"Consider the country of Afghanistan. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child and, if so, under which conditions?",Yes,test
5,"Consider the country of Afghanistan. Does the country provide for the acquisition of citizenship if parentage is established after birth and, if so, under which conditions?",No,test
6,"Consider the country of Afghanistan. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child born in the country, and if so, under which conditions?",Yes,test
7,Consider the country of Afghanistan. Does the country provide for period of residence in a residence-based acquisition?,Yes,test
8,Consider the country of Afghanistan. Which residence conditions does the country provide for residence-based acquisition?,Yes,test
9,Consider the country of Afghanistan. Does the country require renunciation or loss of other citizenships for residence- based acquisition?,No,test
10,"Consider the country of Afghanistan. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",No,test
11,Consider the country of Afghanistan. Does the country require the demonstration of civic knowledge or cultural integration for residence-based acquisition?,No,test
12,Consider the country of Afghanistan. Does the country require the absence of certain crimes and/or offences or proof of moral character for residence- based acquisition?,Yes,test
13,"Consider the country of Afghanistan. Does the country impose a requirement related to economic resources for residence-based acquisition, such as demonstrating income level, engagement in employment or the absence of welfare dependency?",No,test
14,"Consider the country of Afghanistan. Does the country provide for acquisition of citizenship by a person who as a minor has had a certain period of residence or schooling in the country and, if so, under which conditions?",No,test
15,"Consider the country of Afghanistan. Does the country provide for acquisition of citizenship by the spouse or registered partner of a person who is already a citizen and, if so, under which conditions?",Yes,test
16,"Consider the country of Afghanistan. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",No,test
17,"Consider the country of Afghanistan. Does the country provide for acquisition of citizenship by a person who is adopted by a citizen, or cared for by a similar legal arrangement, and, if so, under which conditions?",No,test
18,"Consider the country of Afghanistan. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,test
19,"Consider the country of Afghanistan. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a former citizen and, if so, under which conditions?",No,test
20,"Consider the country of Afghanistan. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",No,test
21,"Consider the country of Afghanistan. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",No,test
22,"Consider the country of Afghanistan. Does the country provide for extending the acquisition of citizenship to the child of a person who is acquiring citizenship and, if so, under which conditions?",Yes,test
23,"Consider the country of Afghanistan. Does the country provide for reacquisition of citizenship by a former citizen, and, if so, under which conditions?",Yes,test
24,"Consider the country of Afghanistan. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",No,test
