index,question,choice_0,choice_1,choice_2,choice_3,choice_4,answer,split
0,"Under the Prison Litigation Reform Act, a prisoner cannot bring suit to challenge prison conditions under federal law ""until such administrative remedies as are available are exhausted."" 42 U.S.C. § 1997e(a). This exhaustion requirement is not subject to ""futility or other exceptions,"" Booth v. Churner, 532 U.S. 731, 746 n.6 (2001), and may not be waived by a district court, Porter v. Nussle, 534 U.S. 516, 524 (2002). This case presents the following question:
Does a prisoner satisfy the Prison Litigation Reform Act's administrative-exhaustion requirement by filing an untimely or otherwise procedurally defective administrative appeal?","holding that it would be inconsistent with Congress' intent to require exhaustion of ""optional appeals"" through state procedures after ""an aggrieved party has exhausted all administrative remedies expressly prescribed"" by Congress in the Administrative Procedures Act (""APA"")","holding that, where prison overcrowding was due to state budget shortfalls, a court-mandated prison-population limit was ""necessary to remedy the violation of prisoners' constitutional rights"" under the Prison Litigation Reform Act","holding that the district court properly dismissed action for lack of jurisdiction where the plaintiff had not exhausted administrative remedies under § 2675 prior to filing suit; stating, ""The FTCA bars claimants from bringing suit in federal court until they have exhausted their administrative remedies.""","holding that exhaustion of administrative remedies is still required to bring a federal suit, even when administrative remedies are no longer available due to the inmate's failure to meet the administrative deadlines: ""Proper exhaustion demands compliance with an agency's deadlines and other critical procedural rules . . . .""","holding that ""failure to exhaust is an affirmative defense under the [Prison Litigation Reform Act], and that inmates are not required to specially plead or demonstrate exhaustion in their complaints""",3,test
1,"Section 806 of the Sarbanes-Oxley Act, 18 U.S.C. § 1514A, forbids a publicly traded company, a mutual fund, or ""any ... contractor [or] subcontractor ... of such company [to] ... discriminate against an employee in the terms and conditions of employment because of"" certain protected activity. (Emphasis added). The First Circuit held that under section 1514A such contractors and subcontractors, if privately-held, may retaliate against their own employees, and are prohibited only from retaliating against employees of the public companies with which they work. The question presented is:
Is an employee of a privately-held contractor or subcontractor of a public company protected from retaliation by section 1514A?","holding that whether an expression by a public employee is constitutionally protected is a question of ultimate fact for the court and not subject to limited review under the ""clearly erroneous"" standard","holding generally that if employee conduct is protected under federal law, then state law which interferes with the exercise of such federally protected rights is preempted",holding that management company's “managerial responsibilities” that gave it “substantial control of the terms and conditions of the work” of the employees justified considering management company an employer,"holding that whistleblower protection under the Sarbanes-Oxley Act, 18 U.S.C. § 1514A, extended to employees of private contractors and subcontractors serving public companies","holding that a subcontractor on a public project could not ""seize or attach money in the hands of the Government as compensation for the losses resulting from the default of the prime contractor""",3,test
2,"Bankruptcy Rules permit discharge of a student loan only through an adversary proceeding, commenced by filing a complaint and serving it and a summons on an appropriate agent of the creditor. Instead, debtor merely included a declaration of discharge in his Chapter 13 plan and mailed it to creditor's post office box. Does such procedure meet the rigorous demands of due process and entitle the resulting orders to respect under principles of res judicata?
Student loans are statutorily non-dischargeable in bankruptcy unless repayment would cause the debtor an ""undue hardship."" Debtor failed to prove undue hardship in an adversary proceeding as required by the Bankruptcy Rules, and instead, merely declared a discharge in his Chapter 13 plan. Are the orders confirming the plan and discharging debtor void?","holding that the Rock Island Railroad Transition and Employee Assistance Act,which ordered a debtor railroad company's bankruptcy estate to pay benefits to former employees of the debtor, was a law on the subject of bankruptcies and violated the Bankruptcy Clause","holding that, in a case involving a mortgage on real property, a bankruptcy discharge ""extinguishes only one mode of enforcing a claim  namely, an action against the debtor in personam  while leaving intact another  namely, an action against the debtor in rem. """,holding that property seized by a creditor prior to debtor's bankruptcy was property of the estate even though creditor--the IRS--held a secured interest--a tax lien--in the property,"holding that ""it is sensible to view the debtor-in-possession as the same `entity' which existed before the filing of the bankruptcy petition, but empowered by virtue of the Bankruptcy Code to deal with its contracts and property in a manner it could not have employed absent the bankruptcy filing""",holding that bankruptcy court’s final order was binding 12 and that appellant could not later collaterally attack that order 13 when the appellant had notice of the proceedings leading up to 14 the entry of the order but never appealed the order,4,test
3,"ERISA preempts any state law that ""relates to"" ERISA-covered employee benefit plans, unless the law is within the statute's insurance ""saving"" clause, which saves from preemption any state law ""which regulates insurance."" Petitioners include health maintenance organizations (""HMOs"") that make limited-size networks of health care providers available to ERISA health benefit plans. Kentucky's ""Any Willing Provider"" (""AWP"") statutes, however, require HMOs to open their networks to any provider in the geographical area willing to meet the network contract terms. The Sixth Circuit below unanimously held that Kentucky's AWP statutes relate to ERISA-covered benefit plans, but by a 2-1 decision joined the Fourth Circuit in holding that AWP statutes are not preempted by ERISA because they are laws ""which regulate[] insurance,"" rejecting contrary decisions of the Eighth and Fifth Circuits.
Are state ""Any Willing Provider"" statutes preempted by ERISA, or are they saved from preemption because they are laws ""which regulate insurance""?",holding that ERISA preempted New York Human Rights Law to the extent that it imposed conflicting insurance obligations than required under ERISA but that New York Disability Law was not preempted if not applied to ERISA plans,holding that Illinois statute requiring HMOs to provide independent medical review of certain claim denials is saved from preemption because the statute regulates insurance within the meaning of ERISA's savings clause,"holding former exemption to the Georgia garnishment statute, O.C.G.A. § 18-4-22.1, preempted by ERISA because the statute expressly referenced ERISA plans and singled out welfare benefit plans for different treatment in state garnishment proceedings","holding that for a state law to be deemed a law which regulates insurance, and therefore saved from ERISA preemption, the state law must ""be specifically directed toward entities engaged in insurance"" and ""substantially affect the risk pooling arrangement between the insurer and the insured""","holding that a local law, requiring employers to continue to offer health insurance to employees receiving workers' compensation benefits, had a “reference to” ERISA plans because employer-offered health insurance is necessarily part of an ERISA plan and the law, therefore, was premised on the existence of an ERISA plan",3,test
4,"This case involves a challenge to the FCC's jurisdiction to implement §332(c)(7) of the Communications Act of 1934, titled ""Preservation of Local Zoning Authority."" Section 332(c) (7) imposes certain limitations on State and local zoning authority over the placement of wireless service facilities, but authorizes the FCC to address only one of these limitations; it states that no other provision ""in this Act"" may ''limit'' or ""affect"" State and local authority over wireless facilities placement. The FCC concluded that other provisions ""in this Act"" authorize it to adopt national zoning standards to implement §332(c)(7). The Fifth Circuit deferred to the FCC's jurisdictional determination applying Chevron U. S.A. Inc. v. NRDC, Inc., 467 U.S. 837 (1984), but acknowledged that ""[the Supreme Court has not yet conclusively resolved the question of whether Chevron applies in the context of an agency's determination of its own statutory jurisdiction, and the circuit courts of appeals have adopted different approaches to this issue."" The case presents two questions:
Whether, contrary to the decisions of at least two other circuits, and in light of this Court's guidance, a court should apply Chevron to review an agency's determination of its own jurisdiction.","holding that “there is no difference, insofar as the validity of agency action is concerned, between an agency's exceeding the scope of its authority (its ‘jurisdiction’) and its exceeding authorized application of authority that it unquestionably has”","holding that courts in the District of Columbia are local rather than federal because Congress ""expressly created"" the courts pursuant to its plenary authority and created a body with authority over matters of ""strictly local concern""","holding that ""filing of a notice of appeal is an event of jurisdictional significance - it confers jurisdiction on the court of appeals and divests the district court of its control over those aspects of the case involved in the appeal.""","holding that ""administrative implementation of a particular statutory provision qualifies for Chevron deference when it appears that Congress delegated authority to the agency generally to make rules carrying the force of law, and that the agency interpretation claiming deference was promulgated in the exercise of that authority""",holding that rule requiring cable operators to originate local programming fell within FCC's statutory jurisdiction,0,test
5,"Is an oral complaint of a violation of the Fair Labor Standards Act protected conduct under the anti-retaliation provision, 29 U.S.C. § 215(a)(3)?","holding that application of Fair Labor Standards Act (""FLSA"") to transportation employees employed by local government does not contravene the Commerce Clause because labor conditions of those employees affect interstate commerce","holding that the ""plain language"" of the Fair Labor Standards Act's ""willful"" liquidated damages standard requires that ""the employer either knew or showed reckless disregard for the matter of whether its conduct was prohibited by the statute,"" without regard to the outrageousness of the conduct at issue","holding that an opinion letter by the administrator of the Wage and Hour Division of the Department of Labor interpreting the Fair Labor Standards Act was not entitled to deference as a matter of law, but only ""respect"" to the extent that it has the ""power to persuade""","holding that ""hearing"" under the Administrative Procedure Act requires that parties have fair notice of what agency intends to do and that parties have opportunity to comment; but ""hearing"" does not require oral testimony, cross-examination, or oral argument",holding that the anti-retaliation provision makes FLSA's “enforcement scheme effective by preventing ‘fear of economic retaliation’ from inducing workers ‘quietly to accept substandard conditions' ”,4,test
6,"Whether a passenger in a vehicle subject to a traffic stop is thereby “detained” for purposes of the Fourth Amendment, thus allowing the passenger to contest the legality of the traffic stop.",holding that an arrest supported by probable cause and following a traffic stop did not violate the Fourth Amendment because of police officer's subjective motivation to search vehicle for evidence of crime,"holding that Fourth Amendment was not violated where, during an “undoubtedly justified traffic stop” an officer observed the vehicle's vehicle identification number (VIN), which “is by law present in one of two locations—either inside the doorjamb, or atop the dashboard and thus ordinarily in plain view of someone outside the automobile”",holding that subjective motive of officers for traffic stop is irrelevant where stop is supported by probable cause and thus rejecting “any argument that the constitutional reasonableness of traffic stops depends on the actual motivations of the individual officers involved”,"holding that ordering a driver out of his or her car during a routine traffic stop is not inconsistent with the Fourth Amendment, and noting that Pennsylvania did not go so far as to argue that frisking a driver during a routine traffic stop would always be consistent with the Fourth Amendment",holding that automobile passengers are seized during traffic stops even though the police command to stop is directed to the driver because a reasonable person in the passenger seat would not feel free to leave once the police have stopped the vehicle,4,test
7,"Whether the term “felony drug offense” as used in federal statute requiring imposition of enhanced mandatory minimum 20 years’ imprisonment when drug offender has “prior conviction for a felony drug offense” must be read in pari materia with federal statutes defining both “felony” and “felony drug offense”, so as to require imposition of minimum 20—year sentence only if prior drug conviction is both punishable by more than one year in prison and characterized as a felony by controlling law.","holding that a South Carolina conviction for possession of cocaine is a conviction for a ""felony drug offense"", as that term is used in § 841(b), because it is ""punishable by more than one year,"" regardless of the fact that the state of conviction classified the offense as a misdemeanor",holding that only a controlled substance violation that is punishable as a felony under the federal Controlled Substances Act can constitute an aggravated felony and finding that it is not enough that the crime is punishable as a felony under state law,holding that a defendant convicted of a possession offense that has not been enhanced based on a prior conviction has not been convicted of an aggravated felony,"holding that to qualify as a conviction relating to a federally controlled substance, ""a state drug offense must meet two conditions: It must 'necessarily' proscribe conduct that is an offense under the [Controlled Substances Act], and the [Act] must 'necessarily' prescribe felony punishment for that conduct""",holding that a buyer who uses a telephone to make a misdemeanor drug purchase does not “facilitate” felony drug distribution because the term “facilitate” is limited to someone other than a principal or necessary actor,0,test
8,"This case presents the issue that recently divided this Court, 4-4, in Costco Wholesale Corp. v. Omega, S.A., 131 S. Ct. 565 (2010). Under § 602(a)(1) of the Copyright Act, it is impermissible to import a work ""without the authority of the owner"" of the copyright. But the first-sale doctrine, codified at § 109(a), allows the owner of a copy ""lawfully made under this title"" to sell or otherwise dispose of the copy without the copyright owner's permission.
The question presented is how these provisions apply to a copy that was made and legally acquired abroad and then imported into the United States. Can such a foreign-made product never be resold within the United States without the copyright owner's permission, as the Second Circuit held in this case? Can such a foreign-made product sometimes be resold within the United States without permission, but only after the owner approves an earlier sale in this country, as the Ninth Circuit held in Costco? Or can such a product always be resold without permission within the United States, so long as the copyright owner authorized the first sale abroad, as the Third Circuit has indicated?",holding the first sale doctrine applies to copies of a copyrighted work manufactured abroad,"holding that as long as court is satisfied that vessel owner's right to seek limitation is protected, the decision to dissolve the injunction is within the district court's discretion","holding constitutional a statute providing that a mineral interest would lapse to the surface owner if the interest owner either made no use of the interest, or failed to file a claim with the State, within a twenty year period","holding that analysis of effect of a zoning commission's application of zoning ordinances on the value of an owner's property and investment-backed expectations ""cannot be measured until a final decision is made as to how the regulations will be applied to [the owner's] property""","holding that ""[a]t least in the absence of an interference with an owner's legal right to dispose of his land, even a substantial reduction of the attractiveness of the property to potential purchasers does not entitle the owner to compensation under the Fifth Amendment""",0,test
9,"Where Congress has provided that compliance with a federal motor vehicle safety standard does not exempt a person from liability at common law, 49 U.S.C. § 30103(e), does a federal minimum safety standard allowing vehicle manufacturers to install either lap-only or lap/shoulder seatbelts in certain seating positions impliedly preempt a state common-law claim alleging that the manufacturer should have installed a lap/shoulder belt in one of those seating positions?","holding state tort action was not preempted by FMVSS 208 after examining the regulation, its history, the agency's contemporaneous explanation of its objectives, and the agency's current views of the regulation's preemptive effect","holding that federal law preempted state failure-to-warn claims against generic drug manufacturers because ""[i]t was not lawful under federal law for the Manufacturers to do what state law required of them,"" i.e., ""to use a different, stronger label"" than the one approved by the FDA","holding that once the FHWA approved the warning devices to be installed at a railroad crossing and the devices were installed using federal funds, ""the federal standard for adequacy displaced [state] statutory and common law addressing the same subject, thereby preempting"" a failure to maintain adequate warning devices claim under state law","holding that, despite party's failure to raise issue of whether state or federal law provided proper standard, court of appeals ""was not free to promulgate a federal common law ... rule without identifying the proper source of federal common law""","holding police regulation permitting a warrantless inventory search prior to towing a vehicle does not violate Fourth Amendment provided law enforcement officerconducting search follows standard procedure, and does not act in bad faith or solely for investigative purposes",0,test
