task_name,splits_found,merged_size,train_size,test_size
abercrombie,train;test,100,5.0,95
canada_tax_court_outcomes,train;test,250,6.0,244
citation_prediction_classification,train;test,110,2.0,108
citation_prediction_open,train;test,55,2.0,53
consumer_contracts_qa,train;test,400,4.0,396
contract_nli_confidentiality_of_agreement,train;test,90,8.0,82
contract_nli_explicit_identification,train;test,117,8.0,109
contract_nli_inclusion_of_verbally_conveyed_information,train;test,147,8.0,139
contract_nli_limited_use,train;test,216,8.0,208
contract_nli_no_licensing,train;test,170,8.0,162
contract_nli_notice_on_compelled_disclosure,train;test,150,8.0,142
contract_nli_permissible_acquirement_of_similar_information,train;test,186,8.0,178
contract_nli_permissible_copy,train;test,95,8.0,87
contract_nli_permissible_development_of_similar_information,train;test,144,8.0,136
contract_nli_permissible_post-agreement_possession,train;test,119,8.0,111
contract_nli_return_of_confidential_information,train;test,74,8.0,66
contract_nli_sharing_with_employees,train;test,178,8.0,170
contract_nli_sharing_with_third-parties,train;test,188,8.0,180
contract_nli_survival_of_obligations,train;test,165,8.0,157
contract_qa,train;test,88,8.0,80
corporate_lobbying,train;test,500,10.0,490
cuad_affiliate_license-licensee,train;test,204,6.0,198
cuad_affiliate_license-licensor,train;test,94,6.0,88
cuad_anti-assignment,train;test,1178,6.0,1172
cuad_audit_rights,train;test,1222,6.0,1216
cuad_cap_on_liability,train;test,1252,6.0,1246
cuad_change_of_control,train;test,422,6.0,416
cuad_competitive_restriction_exception,train;test,226,6.0,220
cuad_covenant_not_to_sue,train;test,314,6.0,308
cuad_effective_date,train;test,242,6.0,236
cuad_exclusivity,train;test,768,6.0,762
cuad_expiration_date,train;test,882,6.0,876
cuad_governing_law,train;test,882,6.0,876
cuad_insurance,train;test,1036,6.0,1030
cuad_ip_ownership_assignment,train;test,582,6.0,576
cuad_irrevocable_or_perpetual_license,train;test,286,6.0,280
cuad_joint_ip_ownership,train;test,198,6.0,192
cuad_license_grant,train;test,1402,6.0,1396
cuad_liquidated_damages,train;test,226,6.0,220
cuad_minimum_commitment,train;test,778,6.0,772
cuad_most_favored_nation,train;test,70,6.0,64
cuad_no-solicit_of_customers,train;test,90,6.0,84
cuad_no-solicit_of_employees,train;test,148,6.0,142
cuad_non-compete,train;test,448,6.0,442
cuad_non-disparagement,train;test,106,6.0,100
cuad_non-transferable_license,train;test,548,6.0,542
cuad_notice_period_to_terminate_renewal,train;test,228,6.0,222
cuad_post-termination_services,train;test,814,6.0,808
cuad_price_restrictions,train;test,52,6.0,46
cuad_renewal_term,train;test,392,6.0,386
cuad_revenue-profit_sharing,train;test,780,6.0,774
cuad_rofr-rofo-rofn,train;test,696,6.0,690
cuad_source_code_escrow,train;test,124,6.0,118
cuad_termination_for_convenience,train;test,436,6.0,430
cuad_third_party_beneficiary,train;test,74,6.0,68
cuad_uncapped_liability,train;test,300,6.0,294
cuad_unlimited-all-you-can-eat-license,train;test,54,6.0,48
cuad_volume_restriction,train;test,328,6.0,322
cuad_warranty_duration,train;test,326,6.0,320
definition_classification,train;test,1345,8.0,1337
definition_extraction,train;test,695,8.0,687
diversity_1,train;test,306,6.0,300
diversity_2,train;test,306,6.0,300
diversity_3,train;test,306,6.0,300
diversity_4,train;test,306,6.0,300
diversity_5,train;test,306,6.0,300
diversity_6,train;test,306,6.0,300
function_of_decision_section,train;test,374,7.0,367
hearsay,train;test,99,5.0,94
insurance_policy_interpretation,train;test,138,5.0,133
international_citizenship_questions,train;test,9310,4.0,9306
jcrew_blocker,train;test,60,6.0,54
learned_hands_benefits,train;test,72,6.0,66
learned_hands_business,train;test,180,6.0,174
learned_hands_consumer,train;test,620,6.0,614
learned_hands_courts,train;test,198,6.0,192
learned_hands_crime,train;test,694,6.0,688
learned_hands_divorce,train;test,156,6.0,150
learned_hands_domestic_violence,train;test,180,6.0,174
learned_hands_education,train;test,62,6.0,56
learned_hands_employment,train;test,716,6.0,710
learned_hands_estates,train;test,184,6.0,178
learned_hands_family,train;test,2271,6.0,2265
learned_hands_health,train;test,232,6.0,226
learned_hands_housing,train;test,4500,6.0,4494
learned_hands_immigration,train;test,140,6.0,134
learned_hands_torts,train;test,438,6.0,432
learned_hands_traffic,train;test,562,6.0,556
legal_reasoning_causality,train;test,59,4.0,55
maud_ability_to_consummate_concept_is_subject_to_mae_carveouts,train;test,70,1.0,69
maud_accuracy_of_fundamental_target_rws_bringdown_standard,train;test,176,1.0,175
maud_accuracy_of_target_capitalization_rw_(outstanding_shares)_bringdown_standard_answer,train;test,152,4.0,148
maud_accuracy_of_target_general_rw_bringdown_timing_answer,train;test,182,1.0,181
maud_additional_matching_rights_period_for_modifications_(cor),train;test,159,1.0,158
maud_application_of_buyer_consent_requirement_(negative_interim_covenant),train;test,181,1.0,180
maud_buyer_consent_requirement_(ordinary_course),train;test,182,1.0,181
maud_change_in_law__subject_to_disproportionate_impact_modifier,train;test,100,1.0,99
maud_changes_in_gaap_or_other_accounting_principles__subject_to_disproportionate_impact_modifier,train;test,99,1.0,98
maud_cor_permitted_in_response_to_intervening_event,train;test,101,1.0,100
maud_cor_permitted_with_board_fiduciary_determination_only,train;test,101,1.0,100
maud_cor_standard_(intervening_event),train;test,85,1.0,84
maud_cor_standard_(superior_offer),train;test,101,1.0,100
maud_definition_contains_knowledge_requirement_-_answer,train;test,128,4.0,124
maud_definition_includes_asset_deals,train;test,145,4.0,141
maud_definition_includes_stock_deals,train;test,146,4.0,142
maud_fiduciary_exception__board_determination_standard,train;test,180,1.0,179
maud_fiduciary_exception_board_determination_trigger_(no_shop),train;test,180,1.0,179
maud_financial_point_of_view_is_the_sole_consideration,train;test,113,1.0,112
maud_fls_(mae)_standard,train;test,78,1.0,77
maud_general_economic_and_financial_conditions_subject_to_disproportionate_impact_modifier,train;test,99,1.0,98
maud_includes_consistent_with_past_practice,train;test,182,1.0,181
maud_initial_matching_rights_period_(cor),train;test,159,1.0,158
maud_initial_matching_rights_period_(ftr),train;test,133,1.0,132
maud_intervening_event_-_required_to_occur_after_signing_-_answer,train;test,128,4.0,124
maud_knowledge_definition,train;test,152,4.0,148
maud_liability_standard_for_no-shop_breach_by_target_non-do_representatives,train;test,138,4.0,134
maud_ordinary_course_efforts_standard,train;test,182,1.0,181
maud_pandemic_or_other_public_health_event__subject_to_disproportionate_impact_modifier,train;test,99,1.0,98
maud_pandemic_or_other_public_health_event_specific_reference_to_pandemic-related_governmental_responses_or_measures,train;test,99,1.0,98
maud_relational_language_(mae)_applies_to,train;test,91,1.0,90
maud_specific_performance,train;test,179,1.0,178
maud_tail_period_length,train;test,180,1.0,179
maud_type_of_consideration,train;test,173,1.0,172
nys_judicial_ethics,train;test,300,8.0,292
opp115_data_retention,train;test,312,8.0,304
