index,text,answer,split
0,"In my view, the term “threat” in § 875(c) can fairly *744 be defined as a statement that is reasonably interpreted as “an expression of an intention to inflict evil, injury, or damage on another.” Webster's Third New International Dictionary 2382 (1976).",Yes,train
1,"An embargo is a “ [g]overnment order prohibiting commercial trade with individuals or businesses of other nations.” Black's Law Dictionary 468 (5th ed. 1979). It is “[a] policy which prevents goods from entering a nation” and which “may be imposed on a product or on an individual country.” J. Berenyi, The Modern American Business Dictionary 103 (1982). ",Yes,train
2,"Bouvier defines ‘inspection’ as the examination of certain articles made by law subject to such examination, so that they may be declared fit for commerce.",Yes,train
3,"To animadvert carried the broader implication of “turn[ing] the attention officially or judicially, tak[ing] legal cognizance of anything deserving of chastisement or censure; hence, to proceed by way of punishment or censure.” 1 Oxford English Dictionary 474 (2d ed.1989). ",Yes,train
4,"See, e. g., Cal. Penal Code Ann. §1170 (West Supp. 2000).",No,train
5,"Even if the Court’s broad reading of the phrase “at issue” were correct, the Court’s conclusion would still be wrong because the relinquishment provision is limited to property that is at issue “in claims against the United States.”",No,train
6,"Pursuing this end, the Act set a minimum sales price for school trust lands of $3 per acre, 36 Stat. 574, the House committee report explaining:",No,train
7,"As that paragraph plainly shows, we do not question and fully accept that insanity acquittees may be initially held without complying with the procedures applicable to civil committees.",No,train
0,"The respondents do not dispute that the trustee meets the usual definition of the word “assignee” in both ordinary and legal usage. See Webster's Third New International Dictionary 132 (1986) (defining an “assignee” as “one to whom a right or property is legally transferred”); Black's Law Dictionary 118-119 (6th ed. 1990) (defining an “assignee” as “[a] person to whom an assignment is made” and an “assignment” as “[t]he act of transferring to another all or part of one's property, interest, or rights”); cf. 26 CFR § 301.6036-1(a)(3) (1991) (defining an “assignee for the benefit of ... creditors” as any person who takes possession of and liquidates property of a debtor for distribution to creditors). ",Yes,test
1,"The term 'exemption' is ordinarily used to denote relief from a duty or service."" ",Yes,test
2,"A prisoner's voluntary decision to deliver property for transfer to another facility, for example, bears a greater similarity to a “bailment”—the delivery of personal property after being held by the prison in trust, see American Heritage Dictionary, supra, at 134—than to a “detention.”",Yes,test
3,"Publishing by outcry, in the market-place and streets of towns, as suggested by Chitty, has, we apprehend, fallen into disuse in England. It is certainly unknown in this country. While it is said the proclamation always appears in the gazette, he does not say that it cannot become operative until promulgated in that way. ",Yes,test
4,"In Bouvier's Law Dictionary, (1 Bouv. Law Dict. p. 581,) ‘hearing’ is thus defined: ‘The examination of a prisoner charged with a crime or misdemeanor, and of the witnesses for the accuser.’ In 9 Amer. & Eng. Enc. Law, p. 324, it is said to be ‘the preliminary examination of a prisoner charged with a crime, and of witnesses for the prosecution and defense.’ See, also, Whart. Crim. Pl. & Pr. § 70.",Yes,test
5,"The Court's references to “process” in Utah & Northern R. Co. and Kagama, and the Court's concern in Kagama over possible federal encroachment on state prerogatives, suggest state authority to issue search warrants in cases such as the one before us. (“Process” is defined as “any means used by a court to acquire or exercise its jurisdiction over a person or over specific property,” Black's Law Dictionary 1084 (5th ed.1979), and is equated in criminal cases with a warrant, id., at 1085.) ",Yes,test
6,"The documents at issue here, while denominated by Massachusetts law “certificates,” are quite plainly affidavits: “declaration [s] of facts written down and sworn to by the declarant before an officer authorized to administer oaths.” Black's Law Dictionary 62 (8th ed.2004). They are incontrovertibly a “ ‘solemn declaration or affirmation made for the purpose of establishing or proving some fact.’ ” Crawford, supra, at 51, 124 S.Ct. 1354 (quoting 2 N. Webster, An American Dictionary of the English Language (1828)).",Yes,test
7,"Just as the words “person entitled to recovery” suggest greater breadth than “individual [who has sustained] actual damages,” so the term “recovery” ordinarily encompasses more than “ ‘get[ting] or win[ning] back,’ ” Brief for Respondent 26 (quoting Webster's Third New International Dictionary 1898 (1966)). ",Yes,test
8,"""Indeed, this administrative use of the phrase fits well with the word 'expiration,' which in its most natural sense in this context refers to the close of a formal accounting period."" Barber v. Thomas, 560 U.S. 474, 497, 130 S.Ct. 2499, 2514 (2010) (Kennedy, J., dissenting). ",Yes,test
9,"In the computing context, ""access"" references the act of entering a computer ""system itself"" or a particular ""part of a computer system,"" such as files, folders, or databases.""",Yes,test
10,"""But the Court overlooks that, according to the very dictionaries it cites, ante, at 1358 – 1359, the word “under” commonly signals a relationship of subjection, where one thing is governed or regulated by another."" at 562",Yes,test
11,"Webster's Third New International Dictionary 2066 (unabridged ed. 1961) defines “seniority,” in pertinent part, as the “status attained by length of continuous service . . . to which are attached by custom or prior collective agreement various rights or privileges . . . on the basis of ranking relative to others. . . .”",Yes,test
12,"""Under the definitions supplied by contemporary law dictionaries, Territories would have been classified as 'corporations' (and hence as 'persons') at the time that § 1983 was enacted and the Dictionary Act recodified.""",Yes,test
13,Bouvier's Law Dictionary says that in the practice of the law ‘suit’ means ‘an action.’,Yes,test
14,"This term has long referred to a class of expenses commonly recovered in litigation to which attorney's fees did not traditionally belong. See Black's Law Dictionary 461 (1891) (defining “expensæ litis” to mean “generally allowed” costs); 1 J. Bouvier, Law Dictionary 392 (1839) (defining the term to mean the “costs which are generally allowed to the successful party”); id., at 244 (excluding from the definition of “costs” the “extraordinary fees [a party] may have paid counsel”).  ",Yes,test
15,""" Texas also highlights Congress' choice of the word 'relief,' which it argues primarily connotes equitable relief. See Black's Law Dictionary 1293 (7th ed.1999)"" ",Yes,test
16,"Far from clearly identifying money damages, the word “appropriate” is inherently context dependent. See Webster's Third New International Dictionary 106 (1993) (defining “appropriate” as “specially suitable: FIT, PROPER”). The context here—where the defendant is a sovereign—suggests, if anything, that monetary damages are not “suitable” or “proper.” ",Yes,test
17,A lien typically is imposed on the property of another for payment of a debt owed by that other. See Black's Law Dictionary 922 (6th ed.1990).,Yes,test
18," In its unmodified form, the word “valuation” means '[t]he estimated worth of a thing.'",Yes,test
19,"a “subject” is merely “[o]ne who owes allegiance to a sovereign and is governed by that sovereign's laws,” id., at 1438.",Yes,test
20,"""Neither amicus nor the House explains how the CFPB would be 'independent' if its head were required to implement the President's policies upon pain of removal. See Black's Law Dictionary 838 (9th ed. 2009) (defining “independent” as “[n]ot subject to the control or influence of another”)."" ",Yes,test
21,"At the founding, suspension was a well-known term that meant “a [t]emporal [s]top of a [m]an's [r]ight.” N. Bailey, An Universal Etymological English Dictionary (22d ed. 1770)",Yes,test
22, The relief sought here is properly termed a “stay” because it suspends the effect of the removal order.,Yes,test
23,"One commentator has explained that “the derivative suit may be viewed as the consolidation in equity of, on the one hand, a suit by the shareholder against the directors in their official capacity, seeking an affirmative order that they sue the alleged wrongdoers, and, on the other, a suit by the corporation against these wrongdoers.” Note, Demand on Directors and Shareholders as a Prerequisite to a Derivative Suit, 73 Harv.L.Rev. 746, 748 (1960). ",Yes,test
24," ""We agree with petitioner that taking steps to make funds appear legitimate is the common meaning of the term 'money laundering.'"" Regalado Cuellar v. United States, 553 U.S. 550, 558, 128 S.Ct. 1994, 2000 (2008). ",Yes,test
25,"""Entitle"" means ""to give… a title, right, or claim to something."" Random House Dictionary of the English Language 649 (2d ed. 1987). See also Black's Law Dictionary 477 (5th ed. 1979) (""to give a right or legal title to""). ",Yes,test
