model_a,model_b,category,strategy,n_matched_pairs,both_correct,both_wrong,a_correct_b_wrong,a_wrong_b_correct,accuracy_a,accuracy_b,test_statistic,p_value,method,significant_at_0.05
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,interpretation,few_shot_2,405,211,64,48,82,0.6395061728395062,0.7234567901234568,8.376923076923077,0.0038001523734557,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,interpretation,few_shot_3,405,236,60,39,70,0.6790123456790124,0.7555555555555555,8.256880733944953,0.0040597825263149,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,interpretation,few_shot_2,405,184,59,87,75,0.6691358024691358,0.6395061728395062,0.7469135802469136,0.3874551722971868,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,interpretation,few_shot_3,405,208,63,67,67,0.6790123456790124,0.6790123456790124,0.0074626865671641,0.9311589059465124,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-32B-Instruct,interpretation,few_shot_2,405,240,81,31,53,0.6691358024691358,0.7234567901234568,5.25,0.0219467710032468,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,role_based,405,357,7,19,22,0.928395061728395,0.9358024691358025,0.0975609756097561,0.7547764265871045,chi_square_corrected,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,creac,405,359,10,4,32,0.8962962962962963,0.965432098765432,20.25,6.795346249460114e-06,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,issue-spotting,role_based,405,366,4,25,10,0.965432098765432,0.928395061728395,5.6,0.0179604775260787,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,issue-spotting,structured,405,368,5,29,3,0.980246913580247,0.9160493827160494,19.53125,9.896734625245616e-06,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,structured,405,372,5,25,3,0.980246913580247,0.925925925925926,15.75,7.228793882618061e-05,chi_square_corrected,True
