index,text,answer,document_name,split
0,"This Support Plan covers a 12 Month period, with a Maximum Cap of hours for that period.",Yes,TRIZETTOGROUPINC_08_18_1999-EX-10.17-TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT.PDF,train
1,"The foregoing obligations of Wildform, shall be limited to a maximum of forty (40) hours, or up to a maximum of two hundred twenty (220) emails, whichever accumulates first.",Yes,"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT.PDF",train
2,TPC agrees that such photograph shoots shall not exceed five (5) hours each in duration.,Yes,TEARDROPGOLFCO_10_23_1996-EX-10.12-ENDORSEMENT AGREEMENT.PDF,train
3,The Annual Maintenance Fee is 18% of the undiscounted License Fees due to Changepoint hereunder and is payable annually in advance.,No,CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT.PDF,train
4,"However, any Party may terminate its participation in this Agreement at the end of the Initial Period or at any time thereafter by giving at least one year's prior notice, in writing, to the other remaining Parties.",No,STARTECGLOBALCOMMUNICATIONSCORP_11_16_1998-EX-10.30-CONSTRUCTION AND MAINTENANCE AGREEMENT.PDF,train
5,In no event shall DGT be liable for consequential or incidental damages arising from any breach or breaches of this Agreement.,No,HUBEIMINKANGPHARMACEUTICALLTD_09_19_2006-EX-10.1-OUTSOURCING AGREEMENT.PDF,train
0,"In addition to any other responsibilities stated in this Agreement, Company will: (a) Provide, at Distributor's reasonable request and without charge, up to 10 hours of training with regard to any characteristics of the Products that Distributor deems reasonably necessary for Distributor and its employees and agents to fulfill the purposes of Distributor's appointment,",Yes,GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,test
1,"The foregoing obligations of Wildform shall be limited to a maximum of forty five (45) hours, or up to a maximum of three hundred (300) emails, whichever accumulates first.",Yes,"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT.PDF",test
2,"From the Effective Date through September 30, 2004, Schoolpop may order non-standard Encompass(R) Select denominations (other than 25, 50, 75, and 100 Points) up to a maximum of 200 Points.",Yes,LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT.PDF,test
3,"This distance may be used only when the net weight of the shipment does not exceed 36,000 pounds and does not contain explosives, flammable liquids, oxidizing materials, corrosive materials, compressed gas or combustible liquid with a flash point at or below 95 degrees Farenheit.",Yes,ENTERPRISEPRODUCTSPARTNERSLP_07_08_1998-EX-10.3-TRANSPORTATION CONTRACT.PDF,test
4,"During the Term of this Agreement, and for a period of two (2) years thereafter, Aucta shall not research, develop, manufacture, file, sell, market, or distribute more than two products containing the active ingredient Lamotrigine; nor will Aucta directly or indirectly assist any other Person or entity in carrying or any such activities.",Yes,EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,test
5,"iPass grants to Channel Partner a nonexclusive, terminable right to:<omitted>(iii) install and execute the Server Software on up to three (3) designated servers and one backup server for Channel Partner and for each End User.",Yes,IpassInc_20181203_8-K_EX-99.1_11445874_EX-99.1_Reseller Agreement.pdf,test
6,"The Digital Content Service will feature (i) up to two (2) minutes for Theatre Advertising (the ""Branded Slots"") in each Play List. Each Branded Slot may only exhibit Theatre Advertising. NCM is required to include no less than forty-five (45) seconds of Branded Slots within the final fifteen (15) minutes of the Play List, fifteen (15) seconds of which shall be included within the final eleven (11) minutes of the Play List; provided, that NCM may begin these Branded Slots up to one minute earlier when NCM expands the amount of advertising units that follow these Branded Slots through the sale of additional advertising to third parties.",Yes,DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,test
7,The Company agrees that each photography session shall not exceed one and one-half days and each speaking engagement and store appearance shall not exceed one-half day.,Yes,"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC..PDF",test
8,Airspan shall provide a single technical course in the English language for up to two (2) qualified technicians of Distributor during the first year of this Agreement.,Yes,AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement.PDF,test
9,CELEBRITY will be available for conference calls not to exceed five per month and at the discretion of his schedule.,Yes,"MARSHALLHOLDINGSINTERNATIONAL,INC_04_14_2004-EX-10.15-ENDORSEMENT AGREEMENT.PDF",test
10,"The ebix Insurance Center shall be operational and fully functionally at least ninety nine percent (99.0%) of the time during the Term, without taking into account scheduled downtime and maintenance which shall not exceed in the aggregate, one (1) hour in any one (1) month perio",Yes,EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement.pdf,test
11,"Diversinet will arrange for the initial personal technical and sales instruction of up to three (3) Reseller personnel for up to five (5) days in learning the functions, installation, integration, operation and maintenance of the Products.",Yes,DIVERSINETCORP_03_01_2012-EX-4-RESELLER AGREEMENT.PDF,test
12,Nothing in this Agreement shall require Manufacturer to provide more than 75 hours per calendar year per Product in connection with any Technical Support.,Yes,UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement.pdf,test
13,"Make himself available for four (4) sessions for production of photographs, or radio, television, video or other multi-media programming for use in Bizzingo's advertising or promotional materials, with each such session not exceeding eight (8) hours.",Yes,BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.pdf,test
14,"After 800 million KWH, it shall be charged energy saving service fee with the rate of 0.20 RMB/KWH.",Yes,CHINARECYCLINGENERGYCORP_11_14_2013-EX-10.6-Cooperation Agreement.PDF,test
15,"Assuming that each voice call is has an average of 2 seconds of voice, there shall be fewer than 1 talkoff in 9000 calls.",Yes,SUMMAFOURINC_06_19_1998-EX-10.3-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.PDF,test
