index,answer,text,document_name,split
0,Yes,"Confidential Information shall mean the following: c) the fact that the Disclosee (or any of their Representatives) are or have been involved in the analysis of, in meetings or negotiations related to the Sale, the contents, time and status of such negotiations, and generally any fact concerning the Sale. ",12032018_NDA_The%20Munt_EN.pdf,train
1,Yes,"2.1. Confidential Information means all confidential information relating to the Purpose which the Disclosing Party or any of its Affiliates, discloses or makes available, to the Receiving Party or any of its Affiliates, before, on or after the Effective Date.  This includes: a) the fact that discussions and negotiations are taking place concerning the Purpose and the status of those discussions and negotiations; ",5-NSK-Confidentiality-Agreement-for-Suppliers.pdf,train
2,Yes,"3.5. ""Confidential information"" means any information of whatever form relating to the Project or Discloser or any of its Affiliates or Clients, supplied or made available by Discloser or on its behalf to recipient or Recipient Representatives, copies of any such information regardless of whether such information is identified as confidential or not; and information regarding: 3.5.3. Any information including those parts of analyses, compilations, studies and other documents which contain, reflect or are derived from such information referred to in this Clause 3.4 or discussions and negotiations relating to the project. ",59b1148ff6952b0001bdbedc_20170907_non%20disclosure%20agreement_expert.pdf,train
3,Yes,"5.1  Save as otherwise permitted herein, a Receiving Party shall not, and shall procure that its  Personnel do not, at any time without the Disclosing Party’s prior written consent: (b) disclose to any person:  - (i) the fact that discussions or negotiations are taking place between the Parties; ",5bfbcabf0627e70bdcfc5b32_nda-ready4s.pdf,train
4,No,"This Agreement will come into force on the [date of its execution]6 and will continue in force [indefinitely, unless and until terminated in accordance with Clause [5] / until [date] [event], upon which it will terminate automatically, unless terminated in accordance with Clause [5]]. Upon termination: (b) all the provisions of this Agreement will cease to have effect, save that the following provisions of this Agreement will survive and continue to have effect (in accordance with their terms or otherwise indefinitely): Clauses [1, 3, 5.2 to 5.4, and 6]. ",NDA-Urban_Wind_Turbines.pdf,train
5,No,"The Receiving Party agrees  (iii) not to make any use whatsoever at any time of such Proprietary Information except to evaluate internally whether to enter into a proposed business transaction with the Disclosing Party without the prior written permission of the disclosing party,  ",1002276_0001036050-99-002047_document_13.txt,train
6,No,"The Receiving Party shall immediately return to the Disclosing Party all written Confidential Information of the Disclosing Party and any and all records, notes and other written, printed or tangible materials pertaining to such Confidential Information upon receipt of a written request from the Disclosing Party.  ",MUTUAL_NDA.pdf,train
7,No,"You will treat confidentially any information (whether written or oral) that either we or our financial advisor, Mesirow Financial, Inc. (“Mesirow”), or our other representatives furnish to you in connection with a Possible Transaction, together with analyses, compilations, studies or other documents prepared by you, or by your representatives (as defined hereinafter) which contain or otherwise reflect such information or your review of, or interest in, the Company (collectively, the “Evaluation Materials”).  The term “Evaluation Materials” includes information furnished to you orally or in writing (whatever the form or storage medium) or gathered by inspection, and regardless of whether such information is specifically identified as “confidential”.  ",814457_0000950137-04-009790_c89545exv99wxdyx6y.htm,train
0,Yes,"Confidential Information: means all confidential information (however recorded, preserved or disclosed) disclosed by a Party or its Representatives to the other Party and that Party's Representatives including but not limited to: (a) the fact that discussions and negotiations are taking place concerning the Purpose and the status of those discussions and negotiations; (b) the existence and terms of this Agreement; ",Aspiegel_NDA_template.pdf,test
1,Yes,"“Information” means any and all confidential information or data exchanged, submitted or otherwise disclosed in respect of or further to the Purpose or prepared for or in relation to the Purpose, including but not limited to written Submission documentation, due diligence materials, contractual documentation, reports, and the fact that the Parties have entered into this Agreement and are discussing and considering a business relationship; Other than as set out in this clause, none of the Parties will make any public announcements, statements or otherwise publicise the subject matter of this Agreement (or its existence) without the prior written consent of the other Parties and no Party will use the business names or trade marks of any other Party in any way without that Party’s prior written consent. ",Bio-FIP-EOI-NDA.pdf,test
2,Yes,"YOU AGREE WITH US: A) that the Confidential Information shall comprise all information (in whatever form, including written, oral or electronic and including material created from such information provided to us by you such as notes, reports or analyses) provided by us to you or any third party on our behalf in connection with the Proposed Transaction, including the fact that discussions relating to the Proposed Transaction are taking place between us. ",Business-Sale-Non-Disclosure-Agreement.pdf,test
3,Yes,"All such confidential information shall be referred to hereinafter as "" "". Information shall also include the identity of the Parties, the contents of this agreement and the fact that they have entered into this Agreement. ",CA-Nov14-Doc.5.14%20-%20Template%20Confidentiality%20Agreement.pdf,test
4,Yes,"“Information” means any and all confidential information or data exchanged, submitted or otherwise disclosed in respect of or further to the Purpose or prepared for or in relation to the Purpose, including but not limited to written proposal documentation, due diligence materials, contractual documentation, reports, and the fact that the Parties have entered into this Agreement and are discussing and considering a business relationship; Other than as set out in this clause, none of the Parties will make any public announcements, statements or otherwise publicise the subject matter of this Agreement (or its existence) without the prior written consent of the other Parties and no Party will use the business names or trade marks of any other Party in any way without that Party’s prior written consent. ",CCS-Salt-Cavern-RfP-NDA.pdf,test
5,Yes,2.2 Each party agrees that it will keep the purpose and the existence of this agreement confidential. ,annex-iii---nda-agreement..pdf,test
6,Yes,"Except as may be required by applicable law, without the prior written consent of the respective Disclosing Party, the Receiving Party shall not:  (b) disclose to any person the fact that Confidential Information and/or CEII/CII have been made available to it;  (c) confirm that any investigations, discussions or negotiations are taking place; or  (d) disclose any of the terms or conditions with respect to same.  ",ceii-and-nda.pdf,test
7,Yes,"10. The execution, existence and performance of this Agreement shall be kept confidential by the Parties hereto and shall not be disclosed by either Party without the prior written consent of the other. ",Clause-de-non-divulgation.pdf,test
8,Yes,"(b) ""Confidential Information"" means: (iii) the existence and terms of this Agreement and any other agreements related to a possible Transaction; ",Confidentiality%20Agreement.pdf,test
9,Yes,A copy of any such agreement shall be available for inspection upon request by the KDOL and will not be subject to disclosure to third parties by anyone other than KDOL. ,Confidentiality_and_Non-Disclosure_Agreement_Rev_10-20-16.pdf,test
10,Yes,"7. Customer agrees that, without the prior written consent of Minnesota Power, it will not make any statement to any competitor, customer or other third party with respect to the Information exchanged hereunder or regarding the Project itself. ",confidentiality-agreement.pdf,test
11,Yes,2.1 Confidential Information shall mean: ii) information relating to the existence of this Agreement; ,confidentiality_agreement.pdf,test
12,Yes,"4. The Receiving Party agrees that the Information will be used solely for giving effect to the Business Under Discussion and further that it will not disclose to any person  (ii) the fact that the Information has been made available to the Receiving Party or that the Receiving Party have inspected any portion of the Information, for any reason or purpose whatsoever, unless the Providing Party has consented in writing to such disclosure or except as stated otherwise herein or as required by law, order, decree, regulation, or governmental agency request.  ",eHandshake_Non_Disclosure_Agreement.pdf,test
13,Yes,"""Confidential Information"" of a disclosing party (""Discloser"") means the following, regardless of its form and including copies made by the receiving party (""Recipient""), whether the Recipient becomes aware of it before or after the date of this Agreement:  disclosed by the Discloser to the Recipient or of which the Recipient becomes aware, including but not limited to, the information specified in Schedule 1; Neither party may make any public announcement or press release concerning the purpose or this agreement without the prior written consent of the other party.  the fact that the parties are discussing a Project or Opportunity;  the status of the Project or Opportunity; and  the fact that the parties have made information available to each other and are inspecting or evaluating that information; ",ICTSC-NDA-General-MandA-signed.pdf,test
