category,task_name,test_size,n_unique_labels,unique_label_ratio
interpretation,consumer_contracts_qa,396,2,0.0051
interpretation,contract_nli_confidentiality_of_agreement,82,2,0.0244
interpretation,contract_nli_explicit_identification,109,2,0.0183
interpretation,contract_nli_inclusion_of_verbally_conveyed_information,139,2,0.0144
interpretation,contract_nli_limited_use,208,2,0.0096
interpretation,contract_nli_no_licensing,162,2,0.0123
interpretation,contract_nli_notice_on_compelled_disclosure,142,2,0.0141
interpretation,contract_nli_permissible_acquirement_of_similar_information,178,2,0.0112
interpretation,contract_nli_permissible_copy,87,2,0.023
interpretation,contract_nli_permissible_development_of_similar_information,136,2,0.0147
interpretation,contract_nli_permissible_post-agreement_possession,111,2,0.018
interpretation,contract_nli_return_of_confidential_information,66,2,0.0303
interpretation,contract_nli_sharing_with_employees,170,2,0.0118
interpretation,contract_nli_sharing_with_third-parties,180,2,0.0111
interpretation,contract_nli_survival_of_obligations,157,2,0.0127
interpretation,contract_qa,80,2,0.025
interpretation,cuad_affiliate_license-licensee,198,2,0.0101
interpretation,cuad_affiliate_license-licensor,88,2,0.0227
interpretation,cuad_anti-assignment,1172,2,0.0017
interpretation,cuad_audit_rights,1216,2,0.0016
interpretation,cuad_cap_on_liability,1246,2,0.0016
interpretation,cuad_change_of_control,416,2,0.0048
interpretation,cuad_competitive_restriction_exception,220,2,0.0091
interpretation,cuad_covenant_not_to_sue,308,2,0.0065
interpretation,cuad_effective_date,236,2,0.0085
interpretation,cuad_exclusivity,762,2,0.0026
interpretation,cuad_expiration_date,876,2,0.0023
interpretation,cuad_governing_law,876,2,0.0023
interpretation,cuad_insurance,1030,2,0.0019
interpretation,cuad_ip_ownership_assignment,576,2,0.0035
interpretation,cuad_irrevocable_or_perpetual_license,280,2,0.0071
interpretation,cuad_joint_ip_ownership,192,2,0.0104
interpretation,cuad_license_grant,1396,2,0.0014
interpretation,cuad_liquidated_damages,220,2,0.0091
interpretation,cuad_minimum_commitment,772,2,0.0026
interpretation,cuad_most_favored_nation,64,2,0.0312
interpretation,cuad_no-solicit_of_customers,84,2,0.0238
interpretation,cuad_no-solicit_of_employees,142,2,0.0141
interpretation,cuad_non-compete,442,2,0.0045
interpretation,cuad_non-disparagement,100,2,0.02
interpretation,cuad_non-transferable_license,542,2,0.0037
interpretation,cuad_notice_period_to_terminate_renewal,222,2,0.009
interpretation,cuad_post-termination_services,808,2,0.0025
interpretation,cuad_price_restrictions,46,2,0.0435
interpretation,cuad_renewal_term,386,2,0.0052
interpretation,cuad_revenue-profit_sharing,774,2,0.0026
interpretation,cuad_rofr-rofo-rofn,690,2,0.0029
interpretation,cuad_source_code_escrow,118,2,0.0169
interpretation,cuad_termination_for_convenience,430,2,0.0047
interpretation,cuad_third_party_beneficiary,68,2,0.0294
interpretation,cuad_uncapped_liability,294,2,0.0068
interpretation,cuad_unlimited-all-you-can-eat-license,48,2,0.0417
interpretation,cuad_volume_restriction,322,2,0.0062
interpretation,cuad_warranty_duration,320,2,0.0063
interpretation,insurance_policy_interpretation,133,3,0.0226
interpretation,jcrew_blocker,54,2,0.037
interpretation,maud_ability_to_consummate_concept_is_subject_to_mae_carveouts,69,2,0.029
interpretation,maud_accuracy_of_fundamental_target_rws_bringdown_standard,175,3,0.0171
interpretation,maud_accuracy_of_target_capitalization_rw_(outstanding_shares)_bringdown_standard_answer,148,4,0.027
interpretation,maud_accuracy_of_target_general_rw_bringdown_timing_answer,181,2,0.011
interpretation,maud_additional_matching_rights_period_for_modifications_(cor),158,5,0.0316
interpretation,maud_application_of_buyer_consent_requirement_(negative_interim_covenant),180,2,0.0111
interpretation,maud_buyer_consent_requirement_(ordinary_course),181,2,0.011
interpretation,maud_change_in_law__subject_to_disproportionate_impact_modifier,99,2,0.0202
interpretation,maud_changes_in_gaap_or_other_accounting_principles__subject_to_disproportionate_impact_modifier,98,2,0.0204
interpretation,maud_cor_permitted_in_response_to_intervening_event,100,2,0.02
interpretation,maud_cor_permitted_with_board_fiduciary_determination_only,100,2,0.02
interpretation,maud_cor_standard_(intervening_event),84,6,0.0714
interpretation,maud_cor_standard_(superior_offer),100,8,0.08
interpretation,maud_definition_contains_knowledge_requirement_-_answer,124,4,0.0323
interpretation,maud_definition_includes_asset_deals,141,4,0.0284
interpretation,maud_definition_includes_stock_deals,142,4,0.0282
