index,text,answer,document_name,split
0,"The Venture may acquire insurance on behalf of any Member, employee, agent or other person engaged in the business interest of the Venture against any liability asserted against them or incurred by them while acting in good faith on behalf of the Venture.",Yes,"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT.PDF",train
1,"Motor Vehicle Insurance covering bodily injury, death of a person or property damage arising out of the ownership, maintenance or use of any motor vehicles in an amount not less than $1,000,000 combined single limit for personal and bodily injury and death.",Yes,"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT.PDF",train
2,"EFS shall deliver to Client, upon execution of the Agreement, certificates of insurance as evidence of the required coverages.",Yes,PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1.pdf,train
3,"Neither NETTAXI or SpinRecords.com shall assign its ---------- respective rights or delegate its obligations hereunder, either in whole or in part, whether by operation of law or otherwise, without the prior written consent of the other party. Any attempted assignment or delegation without the other party's written consent will be void.",No,RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement.pdf,train
4,"Purchase orders issued by MediWound to CBC during a certain year for quantities exceeding [***]% of the applicable Annual Forecast shall be binding upon CBC, except that with respect to any amounts exceeding [***]% of the applicable Annual Forecast, CBC's obligation to provide such exceeding quantities shall be based on best efforts and CBC shall have an extended lead time for delivery as shall be agreed upon by the parties on a case by case basi",No,MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT.PDF,train
5,"Notwithstanding the limits set forth in the<omitted>foregoing sentence, Customer may more frequently conduct ""for cause"" physical inspections or audits of a Facility with five (5) days' advance written notice to Manufacturer if Customer has reasonable cause to believe that an inspection or audit of such Facility is warranted because Manufacturer's activities with respect to such Facility are in breach of this Agreement, applicable Laws, the Quality Agreement or the applicable Facility Addendum.",No,UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement.pdf,train
0,"During the Term of this Agreement, each Party will maintain the following minimum types and amounts of insurance coverage during the Term of this Agreement:",Yes,ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement.pdf,test
1,"Statutory workers' compensation insurance and employer's liability insurance for a minimum limit equal to at least the greater of One Hundred Thousand Dollars ($100,000) or the amounts required as underlying by your umbrella carrier, as well as such other disability benefits type insurance as may be required by statute or rule of the state in which the Franchised Business is located.",Yes,"GOOSEHEADINSURANCE,INC_04_02_2018-EX-10.6-Franchise Agreement.PDF",test
2,"Such certificate will provide that there shall be no cancellation, non-renewal, or modification of such coverage without thirty days' prior written notice to the Company.",Yes,UAGHINC_04_14_2004-EX-10.18-MAINTENANCE AGREEMENT.PDF,test
3,"Each Party will include the other Party and its Affiliates as additional insured parties on such Party's Clinical Trial Liability insurance, as set forth in Section 12.3.2.3 for [***] after the later of termination of this Agreement or release of the last Subject from the Clinical Trials.",Yes,PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement.pdf,test
