index,text,answer,document_name,split
0,"In the event Moelis Holdings proposes to undertake an issuance of Additional Units to which clause (x) of Section 12.2(a) applies, it shall give SMBC written notice of its intention describing the price and terms upon which Moelis Holdings proposes to issue the same.",Yes,MOELIS&CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT.PDF,train
1,"Upon termination of this Agreement by Pretzel Time in accordance with its terms and conditions or by Franchisee without cause or upon expiration of this Agreement (unless the franchise has been renewed), Pretzel Time, its Affiliates or its assignee shall have the option (not the obligation), exercisable by giving written notice thereof within sixty (60) days from the date of such expiration or termination, to acquire from Franchisee all the assets in the Unit including the equipment, furnishings, signs, leasehold improvements, usable inventory of Products, materials, supplies and other tangible assets of the Unit and an assignment of the lease for the Unit.",Yes,MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT.PDF,train
2,"Any material change in the terms of an offer before closing will make it a new offer, revoking any previous approval or previously made election to purchase and giving us a new right of first refusal effective as of the day we receive formal notice of a material change in the terms.",Yes,JOINTCORP_09_19_2014-EX-10.15-FRANCHISE AGREEMENT.PDF,train
3,"This Agreement shall be governed by and construed in accordance with the laws of the Province of British Columbia and the federal laws of Canada applicable therein, excluding its conflict-of-laws rules.",No,ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement.PDF,train
4,"In the event of a Supply Failure, Miltenyi shall grant Bellicum's Second-Source Supplier a limited, non-exclusive, non-transferable, one-site production license, without the right to sublicense, under Miltenyi's Intellectual Property Rights solely to the extent reasonably necessary to manufacture the Affected Miltenyi Product for the Permitted Use by Bellicum at Bellicum's cost.",No,"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement.PDF",train
5,"In addition, if Neoforma sells Advertising to a third party on the Neoforma Sites independently from VerticalNet and if Neoforma previously rejected Advertising by such party when proposed by VerticalNet pursuant to Section 7.1.3 [ADVERTISEMENTS ON THE NEOFORMA SITE], or terminated without cause a prior agreement with such third party that had resulted from such a proposal by VerticalNet, then Neoforma shall pay [*] of the Net Advertising Revenue resulting from such Advertising during the Term to VerticalNet.",No,NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.pdf,train
0,"BP shall then have an optional prior right, for a period of fifteen (15) days after receipt of such written notice, to purchase for the stated consideration on the same terms and conditions the interest which Company proposes to sell.",Yes,TRUENORTHENERGYCORP_02_08_2007-EX-10.1-DEVELOPMENT AGREEMENT.PDF,test
1,"XSPA shall give prompt written notice to Calm each time it offers, proposes to offer, or has received an offer to enter into any agreement or arrangement under which XSPA or any of its affiliates would sell, offer for sale, market, promote or undertake any similar action with respect to any meditation or sleep digital products or similar products at any Store outside the Territory (each, a ""ROFR Notice"").",Yes,XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement.pdf,test
2,"At TPH's sole option, TPH or TPH-A may purchase the GaN Equipment by completion of payment of the purchase price or depreciation cost for such equipment as set forth in Appendix 2.",Yes,"TRANSPHORM,INC_02_14_2020-EX-10.12(1)-JOINT VENTURE AGREEMENT.PDF",test
3,"Prior to the IPO and during the term of the Strategic Alliance, Moelis General Partner shall not consent to a sale or transfer by a Partner of its Partnership Interests to an SMBC Competitor unless the Moelis General Partner caused the Partner proposing to sell or transfer its Partnership Interests to provide SMBC with a right to purchase, on the same terms and conditions, including price, all (but not less than all) of the Partnership Interests that such Partner proposes to sell or transfer to an SMBC Competitor.",Yes,MOELIS&CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT.PDF,test
4,"We will have the right (but not the duty), to be exercised by notice of intent to do so within sixty (60) days after termination or expiration, to purchase for cash any or all assets of the Franchised Restaurant, including leasehold improvements, equipment, supplies, and other inventory, advertising materials, and all items bearing the Marks, at your cost or fair market value, whichever is less.",Yes,BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT.PDF,test
5,"In addition to and without limiting any other provision of this Agreement, in the event the Village Media Company or HOFV fails to pay the Annual Guarantee to PFHOF in accordance with Section 5.1 and such failure is not cured within thirty (30) days of notice thereof by PFHOF, then the rights of first offer granted to HOFV in Section 3.1 of the First Amended and Restated License Agreement, dated as of September 16, 2019 between PFHOF and HOFV (the ""License Agreement"") shall automatically and immediately terminate, regardless of whether PFHOF elects not to terminate this Agreement in accordance Section 4.2.",Yes,GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement.pdf,test
6,"respect to a SHP1-SHP2 Dual Inhibitor during the SHP1-SHP2 Dual Inhibitor Licensing Negotiation Period. If (x) Sanofi does not provide a Notice of Interest within [***] or (y) Sanofi does provide a Notice of Interest within [***] but Parties have not entered into an agreement under which Sanofi is granted SHP1-SHP2 Dual Inhibitor License Rights prior to the expiration of the SHP1-SHP2 Dual Inhibitor Licensing Negotiation Period, then RevMed shall have no further obligations to Sanofi with respect to such SHP1-SHP2 Dual Inhibitor Products, and RevMed shall have the right to enter into negotiations and execute an agreement with a Third Party under which such Third Party is granted the SHP1-SHP2 Dual Inhibitor License Rights [***].",Yes,RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement.pdf,test
7,"If HOC, acting reasonably, determines that the Joint Venture Proposal Notice contains insufficient information to make a reasoned decision in respect of participating in the Proposed Joint Venture, it shall notify the Company of the information required to make such decision and thereafter shall have the greater of (i) five (5) Business Days from the receipt of such information from the Company, and (ii) the days remaining in the period specified in Section 6.2 to make such decision and deliver or refrain from delivering the HOC JV Acceptance Notice in accordance with such Section 6.2.",Yes,GOLDRESOURCECORP_12_11_2008-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF,test
8,"The purchase price shall be paid in cash at the closing of the purchase, which shall take place no later than ninety (90) days after receipt by Franchisee of Pretzel Time's notice of exercise of this option to purchase the Unit, at which time Franchisee shall deliver instruments transferring to Pretzel Time or its assignee good and merchantable title to the assets purchased, free and clear of all liens and encumbrances with all sales and other transfer taxes paid by Franchisee, and all licenses or permits of the Unit which may be assigned or transferred.",Yes,MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT.PDF,test
