index,answer,text,document_name,split
0,Yes,"The Recipient shall immediately return and redeliver to the other all tangible material embodying the JEA Confidential Information provided hereunder and all notes, summaries, memoranda, drawings, manuals, records, excerpts or derivative information deriving there from and all other documents or materials (""Notes"") (and all copies of any of the foregoing, including ""copies"" that have been converted to computerized media in the form of image, data or word processing files either manually or by image capture) based on or including any JEA Confidential Information, in whatever form of storage or retrieval, upon the earlier of - I. the completion or termination of the dealings between the parties contemplated hereunder; or II. the termination of this Agreement; or ", 064-19 Non Disclosure Agreement 2019.pdf,train
1,Yes,"Disclosing Party may serve written request on Recipient for return or destruction of its Confidential Information at any time up to six (6) months after the termination or expiry of this Agreement and Recipient shall, within thirty (30) days of such request or termination, return to the Disclosing Party (or its designees) or certify as destroyed all Confidential Information, in whatever form, including written or electronically recorded information and all copies thereof (other than copies retained in automatic back-up and archive systems), provided however that Recipient shall be entitled to retain one copy of the Confidential Information with its legal counsel or other appropriate corporate representative to evidence the exchange of information hereunder and in connection with legal or statutory requirements.  ",01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,train
2,Yes,"In the event this Agreement is terminated, and the Disclosing Party so requests, the Receiving Party shall promptly return or destroy (and certify destruction of) all Confidential Information which it received from the Disclosing Party along with all copies.  ",130806ca141.pdf,train
3,Yes,"Upon the request of VIDAR or the termination or expiration of this Confidential Agreement, Receiver shall promptly return to VIDAR all copies of the Confidential Information and obtained by Receiver. ",18268-001%20Rev%20B%20Form%20Version%20in%20PDF.pdf,train
4,No,"Upon termination of the Agreement, Independent Contractor shall redeliver all tangible Confidential Information furnished by the Company.  Except to the extent Independent Contractor is advised in writing by counsel that such action is prohibited by law, Independent Contractor will also destroy all written material, memoranda, notes, and other writings or recordings whatsoever prepared by it based upon, containing, or otherwise reflecting any Confidential Information.  ",1043003_0000950170-98-000097_document_12.txt,train
5,No,"The parties will entrust confidential information solely to those employees, consultants and third party companies which are concerned with the processing of the order and which are legally or contractually obligated to secrecy. ",Confidentiality_Agreement_1.pdf,train
6,No,9.4. This Agreement shall apply without limit of time to all Confidential Information disclosed in connection with the Purpose. ,mutual-non-disclosure-agreement.pdf,train
7,No,"Nothing in this agreement shall be construed as granting Recipient any rights of any kinds in the Confidential Information, by license or otherwise. ",NDA_V3.pdf,train
0,Yes,"6. The Contractor shall, at its own expense, return to the State all Confidential Information in its care, custody, control or possession upon request of the State or on termination of the Contract. ",Attachment-I-Non-DisclosureAgreementContractor.pdf,test
1,Yes,"(1) Upon the completion of my engagement as an employee, consultant, or subcontractor under the contract, or the completion of my work on the PCII Program, whichever occurs first, I will surrender promptly to the PCII Program Manager or his designee, or to the appropriate PCII officer, PCII of any type whatsoever that is in my possession. I agree that I shall return all information to which I have had access or which is in my possession  2) upon the conclusion of my duties, association, or support to DHS; and/or  ",CBP%20Non-Disclosure%20Form_October2018.pdf,test
2,Yes,"At expiration Receiving Party must cease all use of and upon request from Disclosing Party return to Disclosing Party all copies or extracts of Disclosing Party’s Confidential Information, in any medium, or certify, in writing by an authorized officer of Receiving Party, the destruction of the same to Disclosing Party.  ",amc-general-mutual-non-disclosure-agreement-en-gb.pdf,test
3,Yes,"Disclosing Parties may elect at any time to terminate further use of or access to the CEII.  In such case, the Receiving Party shall return any and all CEII upon the Disclosing Party's written re(cid:84)uest, including all hardcopy originals, copies, translations, notes, reports, schematics, flowcharts, e-mails, tape recordings, or any other form of said material, without retaining any copy or duplicate supplement thereof and shall promptly destroy any and all written, printed or other material or information derived from the Confidential Information.  ",ceii-and-nda.pdf,test
4,Yes,"When the Receiving Party has finished reviewing the information provided by the Disclosing Party and has made a decision as to whether or not to work with the Disclosing Party, Receiving Party shall return all information to the Disclosing Party without retaining any copies. ",ConfidNonDisclosureAgree.pdf,test
5,Yes,"In addition, upon the completion of the services provided by VENDOR to UNIVERSITY, VENDOR shall return or destroy, as UNIVERSITY may instruct, all Confidential Information in VENDOR’S possession or control, whether in printed, electronic or any other format, including all duplicates and copies thereof of any files, compilation, study, report, analysis, or data base containing, based on or derived from the Confidential Information. ",Confidentiality-and-Nondisclosure-Agreement-Template.pdf,test
6,Yes,"9. At the end of the contract the receiving party shall return the confidential information and any possibly extant copies after receipt of a written request, provided that this is technically feasible and does not violate the retention obligations.  ",Confidentiality_Agreement_1.pdf,test
