index,text,answer,document_name,split
0,"For a period of six (6) months at the end of the Term (the ""Sell-off Period""); provided that the Agreement was not terminated by Wade as permitted herein, Naked will have the right to continue to sell the Wade Products (defined below) for which orders have already been placed at the end of the Term on the terms and conditions herein.",Yes,NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf,train
1,"Upon termination of this Agreement by Pretzel Time in accordance with its terms and conditions or by Franchisee without cause or upon expiration of this Agreement (unless the franchise has been renewed), Pretzel Time, its Affiliates or its assignee shall have the option (not the obligation), exercisable by giving written notice thereof within sixty (60) days from the date of such expiration or termination, to acquire from Franchisee all the assets in the Unit including the equipment, furnishings, signs, leasehold improvements, usable inventory of Products, materials, supplies and other tangible assets of the Unit and an assignment of the lease for the Unit.",Yes,MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT.PDF,train
2,"Notwithstanding anything herein to the contrary, IntriCon shall have a right after termination to continue selling existing products that include the Dynamic Hearing Technology as long as IntriCon pays the appropriate royalties in accordance with the payment clauses in section 4.9 and, for the avoidance of doubt, such other clauses of this Agreement (including 4.3, 4.10, 5, 6 and 10.1 will continue to apply in respect of such sales.",Yes,INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement.PDF,train
3,"Subject to Section 2.6, the Village Media Company shall, or shall cause HOFV to, pay to PFHOF a minimum guarantee of one million two hundred and fifty thousand dollars ($1,250,000) (the ""Annual Guarantee"") each year during the Term; provided that the Parties acknowledge and agree that after the first five (5) years of the Term, the Annual Guarantee shall increase by three percent (3%) on a year-over-year basis (e.g., the Annual Guarantee shall increase to $1,287,500 for year six (6) and to $1,326,125 for year seven (7)).",No,GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement.pdf,train
4,"Licensee shall pay to Licensor for each Licensed Product licensed to a Redistributor or a Customer a royalty equal to the Specified Royalty Percentage of all revenues received (without deduction for value added tax, if any, but excluding any revenues for maintenance and support or upgrade services, which revenues are covered in paragraph (b) below) by Licensee under the Redistributor Agreement or Sublicense applicable to such Licensed Product.",No,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.pdf,train
5,"Unless earlier terminated as provided herein, this Agreement continues in effect for an initial term of seven (7) years (""Initial Term"") and will automatically renew for one or more annual periods after the Initial Term (each a ""Renewal Term"") unless either party gives notice of non-renewal at least one hundred eighty (180) days prior to the beginning of any Renewal Term.",No,ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT.PDF,train
0,"Upon the expiration or termination of this Agreement, pursuant to Section 4.1 or 4.2 hereof, the Company may, at its option to be exercised within 30 days of the date of the termination of this Agreement, and in its sole discretion, repurchase any Products in the possession of the Distributor at the net invoice price paid by the Distributor to the Company less any applicable special allowances, discounts, shipping or allowances for cooperative advertising.",Yes,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT.PDF,test
1,"BP and Company shall conduct operations with respect to such Initial Well as if they have entered into the Operating Agreement until such well or a Substitute Well is drilled to and successfully Completed in the Objective Zone or until this Agreement is terminated; provided, however, if this Agreement is to be terminated without Company earning its proportionate share of the BP Interests in accordance with Section 4.1, then the Parties shall enter into an operating agreement in the form of the Operating Agreement except that the contract area of such operating agreement shall be limited to the Partial Interest.",Yes,TRUENORTHENERGYCORP_02_08_2007-EX-10.1-DEVELOPMENT AGREEMENT.PDF,test
2,"For twenty-four (24) months following termination of this Agreement, the Licensee shall specify on all public- facing materials in a prominent place and in prominent typeface that the Licensee is no longer operating under the Licensed Mark, is no longer associated with the Licensor, or such other notice as may be deemed necessary by the Licensor in its sole discretion in its prosecution, defense, and/or settlement of any Third Party Claim.",Yes,NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement.pdf,test
3,"Upon termination of this Agreement, Fleet agrees to perform its obligations under this Agreement until the earlier of [***].",Yes,"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.PDF",test
