index,text,answer,document_name,split
0,"Miltenyi shall ensure that, at the time of Delivery the remaining shelf life of each shipped Miltenyi Product shall be no less than the minimum shelf life set forth in Exhibit B as such Exhibit B Module may be amended from time to time by written notification of Miltenyi to Bellicum. As of the Effective Date the Minimum Guaranteed Shelf Life of certain Miltenyi Products is relatively short and thus requires Bellicum to perform a tight materials management (i.e. short-termed<omitted>ordering of such Miltenyi Products) regarding production planning of Bellicum Product.",Yes,"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement.PDF",train
1,Company shall pay to JHU minimum annual royalties as set forth in Exhibit A.,Yes,VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement.pdf,train
2,"If Excite does not make good the difference within [*] days, NetGrocer may suspend (but not eliminate) its payments of the sponsorship and advertising fees described in Section 5(b) and 5(c) until the make-good is delivered, at which time NetGrocer will resume its payments of the sponsorship and advertising fees.",Yes,NETGROCERINC_07_31_1998-EX-10.15-SPONSORSHIP AGREEMENT.PDF,train
3,"This Agreement shall be governed by, and construed and enforced in accordance with, the substantive laws of the State of Delaware, without regard to any conflicts of law provisions thereof that would result in the application of the laws of any other jurisdiction.",No,"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC..PDF",train
4,"In connection with such reviews, Manufacturer shall reasonably assist in the completion of an environmental health and safety survey of Manufacturer or the scheduling of an environmental health and safety audit of the Facility, as applicable, in each case with respect to the Products.",No,UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement.pdf,train
5,"If at the time of such termination, Sanofi or its Affiliates are Commercializing a particular Termination Product, then, at RevMed's request, the Parties shall negotiate in good faith a transition services agreement to cover detailing and promotion of such Termination Product (in the same manner and no more extensive than the then-current detailing and promotional efforts of Sanofi) by Sanofi or its Affiliate or contract sales force pursuant to a transition plan agreed by the Parties for a period not to exceed [***], and RevMed shall pay Sanofi a commercially reasonable amount to conduct such activities (which amount would include a commercially reasonable per-detail rate).",No,RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement.pdf,train
0,"In the event Shipper's inventory balance drops below its pro rata part of the volume of Crude Petroleum necessary for pipeline fill, unavailable stocks below tank connections, and reasonable additional minimum quantities required for the efficient operation of the system, then Transporter will require Shipper to provide the necessary volume to meet its pro rata part of such volume of Crude Petroleum.",Yes,ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT.PDF,test
1,"In the event Transporter is unable to maintain the minimum pressure(s) described herein but Shipper is still able to take receipt of the scheduled quantity at the Primary Delivery Point(s) described above, then Shipper shall be considered unharmed by Transporter's inability to maintain such minimum pressure(s).",Yes,KENTUCKYUTILITIESCO_03_25_2003-EX-10.65-TRANSPORTATION AGREEMENT.PDF,test
2,"PERFORMANCE: In lieu of PACIFICAP ENTERTAINMENT granting a 10 year Exclusive Content License to THE HENRY FILM AND ENTERTAINMENT CORPORATION, THE HENRY FILM AND ENTERTAINMENT CORPORATION agrees to share a minimum of $50,000.00 annually for each year of this Agreement.",Yes,PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement.pdf,test
3,"Fleet shall ensure that it has sufficient experienced production staff available to meet the requirements set out in each Production Schedule and at a minimum, to meet the expected non-binding forecast set out below: [***] [***] [***] [***] [***] [***] N u m b e r o f batches",Yes,"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.PDF",test
4,"A Party shall have the right to terminate this Agreement before the end of the Term as follows:<omitted>12.2.3 by Dova if the aggregate actual number of Details for the Product made by the Sales Representatives for a Calendar Quarter is less than the Quarterly Minimum Details for [***] consecutive Calendar Quarters, upon [***] written notice to Valeant, such notice to be delivered no less than [***] following the end of the last consecutive Calendar Quarter in which the actual Details are less than the Quarterly Minimum Details;",Yes,DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.pdf,test
5,"In the event that Ginkgo has the right to terminate this Agreement under Section 13.2.1 (Material Breach) due to a material breach of BLI to perform its supply-related obligations under this Agreement (for clarity, this shall not include (a) [***] or (b) [***], Ginkgo may elect by written notice to BLI to, instead of terminating this Agreement, keep this Agreement and, without limiting any other right or remedy under Applicable Law or this Agreement, to decrease the amount of the Minimum Cumulative Purchase Commitment for the current and future Contract Years, as well as the Full Purchase Target, in each case in amounts reasonably mutually agreed upon by the Parties in good faith in accordance with this Section 13.4 (Rights in Lieu of Termination for BLI's Material Breach of Supply Obligations).",Yes,"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT.PDF",test
