index,text,answer,document_name,split
0,"However, to the extent that any Work may not, by operation of any Laws, be a work made for hire, MD Anderson hereby assigns, transfers and conveys to LBIO all of MD Anderson's worldwide right, title and interest in and to such Work, including all Intellectual Property Rights therein and relating thereto, subject to MD Anderson's right to use such Work for internal research, academic, and non-commercial patient care purposes prior to publication or public disclosure.",Yes,"IOVANCEBIOTHERAPEUTICS,INC_08_03_2017-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF",train
1,"If Parent or SpinCo is unable to obtain, or to cause to be obtained, any such required consent, substitution, approval, amendment or release as set forth in Section 2.4(a) and the applicable member of the Parent Group continues to be bound by such agreement, lease, license or other obligation or Liability (each, an ""Unreleased SpinCo IP Liability""), SpinCo shall, to the extent not prohibited by Law, as indemnitor, guarantor, agent or subcontractor for such member of the Parent Group, as the case may be, (i) pay, perform and discharge fully all the obligations or other Liabilities of such member of the Parent Group that constitute Unreleased SpinCo IP Liabilities from and after the Effective Time and (ii) use its commercially reasonable efforts to effect such payment, performance or discharge prior to any demand for such payment, performance or discharge is permitted to be made by the obligee thereunder on any member of the Parent Group.",Yes,INGEVITYCORP_05_16_2016-EX-10.5-INTELLECTUAL PROPERTY AGREEMENT.PDF,train
2,"The right, title and interest in and to the Company-Skype Branded Content shall be owned by Skype to the extent made up of the Skype Rights which have been integrated into the Company-Skype Branded Content, and by the Online Group to the extent made up of the Group Rights which have been integrated into the Company-Skype Branded Content.",Yes,TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,train
3,All sales towards customers for bunker fuel will be carried out exclusively by Bunker One in accordance to the terms set forth herein. As such all communication with customers shall go via Bunker One unless otherwise is specific written agreed in advance.,No,VertexEnergyInc_20200113_8-K_EX-10.1_11943624_EX-10.1_Marketing Agreement.pdf,train
4,"The parties acknowledge and agree that a ""Release Condition"" for purposes of the Escrow Agreement shall be deemed to mean any one or more of the following listed events (in addition to any other event specified as a release condition under the Escrow Agreement): (i) Ehave makes a general assignment for the benefit of creditors; (ii) Ehave voluntarily institutes any bankruptcy, insolvency, reorganization, moratorium, arrangement, readjustment or debt, dissolution, liquidation or similar proceeding relating to it under the laws of any jurisdiction, or any such proceeding is instituted against Ehave and is not dismissed within sixty (60) Business Days; or any judgment, writ, warrant or attachment or execution of similar process is issued or levied against a substantial part of Ehave's property and remains unsatisfied for sixty (60) Business Days; or Ehave applies for or consents to the appointment of any receiver, trustee or similar officer for it or for all or any substantial part of its property; or such receiver, trustee or similar officer is appointed without the consent of Ehave; (iii) Ehave consents to the filing of a petition of bankruptcy against it; (iv) a petition of bankruptcy is filed against Ehave which is not discharged within sixty (60) days; (v) Ehave becomes or is adjudicated by a court of competent jurisdiction as being bankrupt or insolvent or admits in writing its inability to pay its debts as they mature; Ehave ceases doing business as a going concern; (vi) Ehave undergoes a change of control or is a party to a merger or amalgamation; (vii) Ehave takes steps to dissolve, liquidate, wind up or otherwise terminate its existence; (viii) Ehave has terminated its provision of or ceased to provide the Ehave Companion Solution or support services for a continuing period of fifteen (15) Business Days or more, except pursuant to the termination of this Agreement by Ehave in accordance with its rights contained hrein.",No,EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement.pdf,train
5,Either parties voting stock is transferred to any third party to such extent as to result in a change in effective control of the company or its ownership or active management is changed in any other manner.,No,AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement.pdf,train
0,"Licensee hereby does expressly assign to Fox any and all rights of paternity or integrity, rights to claim authorship, to object to any distortion, mutilation or other modification of, or other derogatory actions in relation to the PSM, the Fox Intellectual Property, and any of Fox's Intellectual Property Rights in and to the PSM and or the Fox Intellectual Property and any derivative works thereof, whether or not such would be prejudicial to Fox's honor or reputation, and any similar right, existing under judicial or statutory law of any country in the world, or under any treaty (""Moral Rights""), regardless of whether such right is denominated or generally referred to as a moral right.",Yes,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1.pdf,test
1,"If and to the extent that, as a matter of Law in any jurisdiction, ownership, title, or any rights or interest in or to any of the Assigned IP cannot be assigned as provided in Section 2.1(b)(i), (A) the Seller irrevocably agrees to (and shall cause the other Seller Parties to) assign and transfer, and the Seller hereby assigns and transfers (and shall cause the other Seller Parties to assign and transfer) to the Purchaser Assignees all rights (including all economic and commercialization rights) that can be assigned pursuant to Section 2.1(b)(i) to the fullest extent permissible, and (B) the Seller hereby grants to the Purchaser Assignees, and hereby agrees to cause the other Seller Parties to grant to the Purchaser Assignees, an unlimited, exclusive, irrevocable, assignable, transferable, sublicenseable, worldwide, perpetual, royalty-free, fully-paid up license to use, exploit, and commercialize in any manner now known or in the future discovered and for whatever purpose, any and all rights to Assigned IP that cannot be assigned as contemplated by Section 2.1(b)(i).",Yes,ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT.PDF,test
2,"Upon Assignee's reasonable request and at Assignee's sole cost and expense, Assignor shall (i) provide any further assistance reasonably necessary to effect the assignment of all rights, title and interest in and to the Assigned Patents to Assignee, including, but not limited to, the execution of any further documents and instruments, and (ii) take such other actions as are reasonably necessary to document the aforesaid assignment and transfer to Assignee.",Yes,"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.PDF",test
3,"VerticalNet shall register and own the domain name and the URL used in connection with the Co-Branded Training and Education Center, subject, however, to Neoforma's agreement on the name to be used for the URL, which domain name and URL shall be mutually agreed upon by the Parties.",Yes,NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.pdf,test
