index,question,text,answer,split
0,do you ever sell my personal information to other companies for marketing purposes?,We have these third party experts perform regular penetration tests and periodically audit 23andMes security controls.,Relevant,train
1,will the information be shared with a 3rd party,"Any research involving your data that has already been performed or published prior to your withdrawal from 23andMe Research will not be reversed, undone, or withdrawn.",Relevant,train
2,is my dna information used in any other way besides what is specified?,"You may withdraw your consent at any time, however, the withdrawal of your consent will not affect the lawfulness of processing based on consent before its withdrawal.",Relevant,train
3,"if my genetic data turns out to be unexpected, can my family see it?","Sharing outside of the 23andMe Services You may decide to share your Personal Information with friends and/or family members, doctors or other health care professionals, and/or other individuals outside of our Services, including through third party services such as social networks and third party apps that connect to our website and mobile apps through our application programming interface (""API"").",Relevant,train
4,how secure is your website from hackers?,"Account deletion If you no longer wish to participate in our Services, or no longer wish to have your Personal Information be processed, you may delete your 23andMe account and Personal Information within your Account Settings.",Irrelevant,train
5,what information does the company store about me?,"Consistent with applicable legal requirements, we take commercially reasonable steps to require third parties to adequately safeguard your personal information and only process it in accordance with our instructions;",Irrelevant,train
6,"this app owner theft any personal details in my mobile (like photos, videos), possibilities are there?","       the information we collect, how we collect such information and the purposes of our collection;",Irrelevant,train
7,do you use my data to do medical research,The person you referred may contact us at privacy@23andme.com to request that we remove this information from our database.,Irrelevant,train
0,will my personal details be shared with third party  companies?,"The information may be disclosed to: (i) provide joint content and our services (eg, registration, coordination of membership accounts between the Viber corporate family, transactions, analytics and customer support); (ii) help detect and prevent potentially illegal acts, violations of our policies, fraud and/or data security breaches.",Relevant,test
1,does it collect payment information,"When you order any good or service through the Game, including any virtual currency or virtual good, our payment processing service provider will collect your name, phone number, e-mail address, mailing address, billing address, and complete credit card information that enables them to receive your payment.",Relevant,test
2,does this app use data on my phone not within the app?,In certain Games we will create and assign to your device an identifier that is similar to an account number.,Relevant,test
3,do you use my data to do medical research,"23andMe Research may study a specific group or population, identify potential areas or targets for therapeutics development, conduct or support the development of drugs, diagnostics or devices to diagnose, predict or treat medical or other health conditions, work with public, private and/or non-profit entities on genetic research initiatives, or otherwise create, commercialize, and apply this new knowledge to improve health care.",Relevant,test
4,is any information shared with third parties?,"In addition, you may also permit Keep to access other content and data on your device  for example, your contact list and photo storage.",Relevant,test
5,when do you delete stored data?,"We may receive certain information about you which is stored on social media sites if users of those sites give us access to their profiles and you are one of their friends or connections, depending upon your settings on those sites.",Relevant,test
6,"this app owner theft any personal details in my mobile (like photos, videos), possibilities are there?","Once we have received your information, we have procedures and security features in place to try to prevent unauthorized access.",Relevant,test
7,can i submit a request to have my data deleted?,"Upon deactivation of your account, we will minimize the personal data we keep about you only to such data which we are required to keep to comply with laws, or other legal reasons.",Relevant,test
8,will you sell my information?,"For more information about our marketing practices, please review our Cookie Policy.",Relevant,test
9,who will have access to my information?                                                            ,"However, their use ofPersonal Informationobtained through Groupon is governed by their privacy policies and is not subject to our control.",Relevant,test
10,what data does it collect,"You may be able to take part in certain activities through our Services that give you the opportunity to communicate or share information not just with PeopleFun, but also with other users of our Services.",Relevant,test
11,how do i remove it?,We will process any requests in line with any local laws and our policies and procedures.,Relevant,test
12,will you destroy my dna sample when you are finished?,"Account deletion If you no longer wish to participate in our Services, or no longer wish to have your Personal Information be processed, you may delete your 23andMe account and Personal Information within your Account Settings.",Relevant,test
13,will my fitness coach share my information with others?,"If you are a minor, you can use the service only in conjunction with your parents or guardians.",Relevant,test
14,"if i send a message that is considered dirty, will the controllers of the app see it?","We may use your information to prevent, detect, and investigate fraud, security breaches, potentially prohibited or illegal activities, protect our trademarks and enforce ourTerms of Use.",Relevant,test
15,does viber have any affiliation with the advertisement industry?,"For more information on the appropriate safeguards in place, please contact us at the details below.",Relevant,test
16,will my information be shared with other companies for marketing?,"Please read the Privacy Policies of those platforms, as your activity published on those platforms will no longer be governed by this Privacy Policy.",Relevant,test
17,what kind of permissions do i have to grant it?              ,We think that you benefit from a more personalized experience when we know more about you and what you like.,Relevant,test
18,does it sell my data to anyone?                                                           ,"Information collected may be used, among other things, to deliver advertising targeted to your interests and to better understand the usage and visits to the Site and the other websites tracked by these third parties.",Relevant,test
19,do you share my location with other people,"If you are a minor, you can use the service only in conjunction with your parents or guardians.",Relevant,test
20,who will be able to see my information and/or the messages that i send?,"(c) Activity Information:While using the Viber Services, we will collect, and other users can see, your connection status, whether you have received and seen messages sent to you, if you are currently on another call, and information related to the calls and messages you have sent and received such as length of the call, who called who, who messaged who, and at what time; if you do not want people to know that youre online or that youve seen messages, you can change these options in your settings.",Relevant,test
21,do you record our phone calls?,"If for some reason, the message, wasnt delivered to its destination within up to 2 weeks, it will be deleted from our servers.",Relevant,test
22,is my search and purchase history shared with advertisers?  ,"Enhance other information we have about you directly or fromOther Sourcesto help us better understand you and determine your interests, and to",Relevant,test
23,does it sell my data to anyone?                                                           ,"Affiliatemeans an entity owned, directly or indirectly, by Groupon, Inc. or that is controlled by or under common control with Groupon, Inc., and also includes joint ventures entered into by Groupon, Inc. and/or its Affiliates.",Relevant,test
24,what kind of security protocol does groupon use to protect data and privacy of its users? ,"Send you reminders, technical notices, updates, security alerts, support and administrative messages, service bulletins, marketing messages, and requested information, including on behalf ofBusiness Partners;",Relevant,test
25,how long do you store my medical information for?,"Once you confirm your request to delete your account and data, your account will no longer be accessible while we process your request.",Relevant,test
26,does it collect payment information,"We may collect or receive information from other sources including (i) other PeopleFun users who choose to upload their email contacts, and (ii) third party information providers.",Relevant,test
27,do i have to tell you my location?                           ,"We also use cookies, tags, web beacons, local shared objects, files, tools and programs to keep records, store your preferences, improve our advertising, and collectNon-Identifying Information, includingDevice Dataand information about your interaction with the Site and ourBusiness Partners'web sites.",Relevant,test
28,who will have access to my dna?,During kit registration you are asked to review our Consent Document for Sample Storage and Additional Genetic Analyses.,Relevant,test
29,is my data anonymized?,"In contrast, Individual-level Genetic Information or Self-Reported Information consists of data about a single individual's genotypes, diseases or other traits/characteristics information and could reveal whether a specific user has a particular genetic trait, or consist of all of the Genetic Information about that user.",Relevant,test
30,what information does the company store about me?,"  Once you have given us your agreement to the use of cookies, we shall store a cookie on your computer or device to remember this for next time, so that we can store your preferences and save you time on subsequent visits by eliminating the need to repeatedly enter the same data.",Relevant,test
31,can it use my camera?,We will store those contacts for purposes of helping you and your contacts make connections through our Services.,Relevant,test
32,what applications does this app have access to?,We do not collect credit information; but allow our payment vendors to collect information for the purpose of collecting payments from buyers on the Site or transferring payments to sellers on the Site.,Relevant,test
33,does it sell my data to anyone?                                                           ,"with relevantBusiness Partners:with whom we jointly offer products and services;with whom we have entered into an agreement that provides for the disclosure, sale, lease, or license of your Information;to facilitate a direct relationship with you, including in connection with any program we administer on behalf of theBusiness Partner;to enable electronic communications with you as part of purchase, a sponsored reward, offer, contest, program, or other activity in which you have elected to participate;to the extent you have purchased or redeemed a Groupon voucher, goods or services offered by aBusiness Partneror participated in an offer, rewards, contest or other activity orOther Programssponsored or offered through Groupon on behalf of thatBusiness Partner;",Relevant,test
34,who has access to my test results?,"23andMe requires service providers to implement and maintain accepted industry standard administrative, physical and technical safeguards to protect Personal Information.",Relevant,test
35,do you have any association with google?,"Web-Behavior Information collected through tracking technology (eg from cookies and similar technologies) We and our third party service providers use cookies and similar technologies (such as web beacons, tags, scripts and device identifiers) to:",Relevant,test
36,what information do collaborators have access to?,Your information will not be shared with others and is only used internally for the purposes described below:,Relevant,test
37,this app ask any kind personal details like credit card details?    ,"Device Datameans information concerning a device you use to access, use, or interact with the Site, such as operating system type or mobile device model, browser type, domain, and other system settings, the language your system uses and the country and time zone of your device, geolocation, including precise geolocation, unique device identifier or other device identifier, advertising identifier, mobile phone carrier identification, and device software platform and firmware information.",Relevant,test
38,will my location be tracked?,We do not use or collect your precise geographic location.,Relevant,test
39,is it possible for health insurance companies to get ahold of my data?,"Any research involving your data that has already been performed or published prior to your withdrawal from 23andMe Research will not be reversed, undone, or withdrawn.",Relevant,test
40,what information are they collecting?,"When you ask for assistance from our Customer Support team, we will collect and store the contact information you provide (generally your name and e-mail address), information about your game play or activity on the Games, and your user name or ID number.",Relevant,test
41,do you sell my genetic data?,"When the laboratory has completed their analysis, they securely send the resulting Genetic Information to us identified by your unique barcode.",Relevant,test
42,will the information be shared with a 3rd party,"Once we receive your raw Genetic Information from the laboratory, we further analyze it to provide you with our health and/or ancestry reports, dependent on the Service purchased.",Relevant,test
43,hwere is it saved,"To prevent unauthorized on-line access to data, Lima Sky maintains data behind a firewall-protected server.",Relevant,test
44,"if i send a message that is considered dirty, will the controllers of the app see it?","Note that chats with bots and Public Accounts, and communities are not end-to-end encrypted, but we do encrypt such messages when sent to the Viber servers and when sent from the Viber servers to the third party (the Public Account owner and/or additional third party tool (eg CRM solution) integrated by such owner).",Relevant,test
45,how am i sure no one will steal my identity?,We contractually ensure that any third party processing your personal information equally provide for confidentiality and integrity of your data in a secure way.,Relevant,test
46,will my test results be shared with any third party entities?,"Business transactions In the event that 23andMe goes through a business transition such as a merger, acquisition by another company, or sale of all or a portion of its assets your Personal Information will likely be among the assets transferred.",Relevant,test
47,does it sell data,"We do not share personal information with third parties for their direct marketing purposes unless you affirmatively agree to such disclosure, typically by opting in to receive information from a third party that is participating in a sweepstakes or other promotion through our Services.",Relevant,test
48,why do you need so many unrelated permissions?,"For example, we may provide you with advanced training classes with your updated weight and body measurement in aims to help you achieve your training goals smoothly.",Relevant,test
49,who will have access to my dna?,"Our distribution centers ship your kit(s) to you, and in some cases help return your kit safely to our third party laboratory so your sample can be processed.",Relevant,test
50,what applications does this app have access to?,"Consistent with applicable legal requirements, we take commercially reasonable steps to require third parties to adequately safeguard your personal information and only process it in accordance with our instructions;",Relevant,test
51,can other members view my real name?,"When the laboratory has completed their analysis, they securely send the resulting Genetic Information to us identified by your unique barcode.",Relevant,test
52,who will have access to my information?                                                            ,"Use your data as described in ourCard Linked Dealsprogram, if you consented to participate in such program.",Relevant,test
53,do i need to enter any personal information to use it?,"Your device, as well as the Groupon mobile app, provides you with options to control how and when we collect your geolocation.",Relevant,test
54,what data is the app taking from me?,Lima Sky does not merge the non-personally identifying analytics data that we collect with personally identifying information from any other source.,Relevant,test
55,does it collect payment information,We may also offer you the ability to import your contacts or manually enter e-mail addresses so that you can locate your contacts on PeopleFun and invite your contacts to join you in the Games.,Relevant,test
56,who will have access to my information?                                                            ,We encourage you to review the privacy policies or statements of these third party advertising companies to learn more about their use ofCookiesand other technologies.,Relevant,test
57,do you sell my data,"Aggregate information We may share Aggregate Information, which is information that has been stripped of your name and contact information and combined with information of others so that you cannot reasonably be identified as an individual, with third parties.",Relevant,test
58,does it collect payment information,We may also offer you the option to complete a user profile that is visible to other PeopleFun users.,Relevant,test
59,is my chat here with the platform confidential?,"  We collect information that you provide us or voluntarily share with other users, and also some general technical information that is automatically gathered by our systems, such as IP address, browser information and cookies to enable you to have a better user experience and a more personalized browsing experience.",Relevant,test
60,why does the app need to collect that information to function?,Lima Sky or third parties operating the ad serving technology may use demographic and location information as well as information logged from your hardware or device to ensure that appropriate advertising is presented within the Service.,Relevant,test
61,can other parties see my information,"  We may combine your personal information with information we collect automatically or obtain from other companies and use it to improve and personalize our services, content and advertising.",Relevant,test
62,when do you delete stored data?,"When you interact with Public Accounts, bots and Communities on our Service, we may obtain information about the messages you have liked, comments you have left and also websites youve viewed through links in them.",Relevant,test
63,what do you do to keep my personal information private?,"Once we have received your data, we will use strict procedures and security features to try to prevent unauthorized access.",Relevant,test
64,what data is the app taking from me?,"Additionally, non-personal data means aggregate and de-personalized information, which is data Lima Sky collects about the use of Services, from which any personally identifiable data has been removed.",Relevant,test
65,how is the data taken being used?,"Flurry Analytics: If you wish to find out more information on Flurry analytics, please follow this link: http://www.flurry.com/legal-privacy/privacy-policy",Relevant,test
66,do you access any of my contact's information?,"Please read the Privacy Policies of those platforms, as your activity published on those platforms will no longer be governed by this Privacy Policy.",Relevant,test
67,how does fiverr ensure payments from customers are secure?,"We are not exposed to the payment information provided to our payment vendors, and this information is subject to the privacy policy applicable to the payment vendor; and",Relevant,test
68,"will the personal info i share with this app to sign up be shared with other companies, etc?","We will share personal information if we have a good-faith belief that access, use, preservation, or disclosure of the information is reasonably necessary to a) meet any applicable law, regulation, legal process, or enforceable governmental request, or b) detect, prevent, or otherwise address fraud, security, or technical issues, or c) protect against harm to the rights, property or safety of Keep, our users, or the public as required or permitted by law.",Relevant,test
69,how are payment transactions handled on your platform.,"We may collect additional information such as physical address, telephone number or other contact details and additional authentication information, to provide you with the services you need (such as payment or withdrawal of funds, sending physical goods), or to ensure the marketplace integrity (for example, prevention of fraud).",Relevant,test
70,is any information recorded,"The personal data Lima Sky may collect, process and use may include, but are not limited to your name, screen/user name, Services' or third party service ID, and e-mail address.",Relevant,test
71,what information is shared when i choose to connect with someone?,"Please note that whenever you post something publicly, it may sometimes be impossible to remove all instances of the posted information, for example, if someone has taken a screenshot of your posting.",Relevant,test
72,does the app access my contact list?,We use the information we collect to customize our services for you.,Relevant,test
73,does it save any of my health data?,"We need your age, height and weight to calculate your consumption of calorie when you complete each training class.",Relevant,test
74,where are the settings                                       ,"To manage the sharing of certainPersonal Informationwith us when you connect with us through social networking platforms or applications, refer to the privacy policy and settings of the social networking website or application.",Relevant,test
75,will my information be shared with other companies for marketing?,"You may also choose to share your activity on other platforms, such as Facebook, Twitter or Instagram.",Relevant,test
76,does it keep track of where i am?                                   ,"We may also collect the precise location of your device when the app is running in the foreground, background, or even if you are not directly using the application depending on your device and its settings.",Relevant,test
77,is my search and purchase history shared with advertisers?  ,"We do not sharePersonal InformationwithThird-Party Ad-Servers; however,Third-Party Ad-Serversmay automatically collectNon-Identifying Informationabout your visit to the Site and other websites, your device address, your Internet Service Provider and the browser you use to visit the Site.",Relevant,test
78,does this app use data on my phone not within the app?,"The PeopleFun username will be public and will be shown to other users, but will only permit access to information that is considered public or that you have designated as public in your user profile settings.",Relevant,test
79,is any information shared with third parties?,"If we are aware that a child under 13 has provided us with personal identifiable Information, we will delete such information from our files.",Relevant,test
80,do you keep and upload my activity to your database,"Any information included in your publicly visible Keep profile, which may include your profile ID, name and photo;",Relevant,test
81,do third parties have access to my data?," We collect and hold only the information absolutely necessary for using our services, as well as limiting the internal access to your personal information for the purposes stated in Information Usage below.",Relevant,test
82,what data is the app taking from me?,"Flurry Analytics: If you wish to find out more information on Flurry analytics, please follow this link: http://www.flurry.com/legal-privacy/privacy-policy",Relevant,test
83,do i need to enter any personal information to use it?,"We collect your location information, including precise real-time geolocation, such as through look up based on IP address, GPS, Bluetooth, or WiFi signals, consistent with your choice of mobile device settings.",Relevant,test
84,will the app use my data for marketing purposes?,We use the information we collect to customize our services for you.,Relevant,test
85,do vendors get my information?                                      ,"Administer rewards, surveys, sweepstakes, contests, or other promotional activities or events sponsored by us or ourBusiness Partners;",Relevant,test
86,what does each permission for the app mean?,"If you are a resident of the European Economic Area, subject to the GDPR guidelines, you will be asked to confirm your desire to receive personalized advertising utilizing your device ID, coarse location and other data and to confirm that you are 16 years of age or older.",Relevant,test
87,what information is collected from me?,"For example, you may provide us with information about your personal traits (eg, eye color, height), ethnicity, disease conditions (eg Type 2 Diabetes), other health-related information (eg pulse rate, cholesterol levels, visual acuity), and family history information (eg information similar to the foregoing about your family members).",Relevant,test
88,is it keep my phone numbers undisclosed?,"(c) Activity Information:While using the Viber Services, we will collect, and other users can see, your connection status, whether you have received and seen messages sent to you, if you are currently on another call, and information related to the calls and messages you have sent and received such as length of the call, who called who, who messaged who, and at what time; if you do not want people to know that youre online or that youve seen messages, you can change these options in your settings.",Relevant,test
89,"will biological data like heart rate, blood pressure, etc. be collected via the app?","Please read the Privacy Policies of those platforms, as your activity published on those platforms will no longer be governed by this Privacy Policy.",Relevant,test
90,what information are they collecting?,In certain Games we will create and assign to your device an identifier that is similar to an account number.,Relevant,test
91,who can see my information?,  We do not sell or rent your personal information to third parties for their marketing purposes without your explicit consent.,Relevant,test
92,do you sell my genetic data?,"These activities may include, among other things, using your information in a manner consistent with this Privacy Statement to:",Relevant,test
93,does it store my dna information for long periods of time?,"Once you submit your request, we will send an email to the email address linked to your 23andMe account detailing our account deletion policy and requesting that you to confirm your deletion request.",Relevant,test
94,will my information be saved after i use groupon once?              ,"We will retain and use yourPersonal Informationas necessary to comply with our legal obligations, resolve disputes, and enforce our agreements.",Relevant,test
95,do you keep my information and build a database for selling me products with it?,"To use our genetic testing services, you must purchase, or receive as a gift, a 23andMe Personal Genetic Service testing kit, and ship your saliva sample to our third party laboratory.",Relevant,test
96,will my information be shared with other companies for marketing?,"However, we dont show you personalized ads based on sensitive categories, such as race, religion, sexual orientation, or health.",Relevant,test
97,does it share my purchase information with others?                                        ,"Evaluate your eligibility for certain types of offers, products or services that may be of interest to you, and analyze advertising effectiveness;",Relevant,test
98,when do you delete stored data?,"First of all, we want you to be assured that we do not read or listen to the content of your messages and/or calls made privately via Viber and we do not store those messages once they have been delivered to their destination (which on average takes less than one second).",Relevant,test
99,do vendors get my information?                                      ,"Facilitate and fulfill orders placed on the Site andOther Programs for example, for Groupon vouchers and other goods and services, including tracking redemption;",Relevant,test
100,does the wordscapes app have access to my location?,"A users location may be used to suggest other users with whom they might want to connect, analyze usage trends, or target certain promotions.",Relevant,test
101,does it have access to my contacts?,Please note that purchases from third parties may also be subject to additional policies.,Relevant,test
102,can groupon see where i am located?                                                       ,"We collect your location information, including precise real-time geolocation, such as through look up based on IP address, GPS, Bluetooth, or WiFi signals, consistent with your choice of mobile device settings.",Relevant,test
103,is any information recorded,Information related to our genetic testing services Saliva sample and biobanking.,Relevant,test
104,who will have access to my medical information?,"De-identified Information: information that has been stripped of your Registration Information (eg, your name and contact information) and other identifying data such that you cannot reasonably be identified as an individual, also known as pseudonymized information.",Relevant,test
105,what type of access does it have on my device?,"The PeopleFun username will be public and will be shown to other users, but will only permit access to information that is considered public or that you have designated as public in your user profile settings.",Relevant,test
106,will this app sell my information to any 3rd parties?,to analyze traffic and other end user activity to improve your experience).,Relevant,test
107,is my data safe  ,"Groupon has implemented an information security program that contains administrative, technical and physical controls that are designed to reasonably safeguardPersonal Information.",Relevant,test
108,can anyone view my account?,"(c) Activity Information:While using the Viber Services, we will collect, and other users can see, your connection status, whether you have received and seen messages sent to you, if you are currently on another call, and information related to the calls and messages you have sent and received such as length of the call, who called who, who messaged who, and at what time; if you do not want people to know that youre online or that youve seen messages, you can change these options in your settings.",Relevant,test
109,who will have access to my information?                                                            ,"provide information to enroll or participate inOther Programsprovided on behalf of, or together with,Business Partners;",Relevant,test
110,how will my data be stored                                          ,"While we are ready to assist you in managing your subscriptions, deactivating your account, and removing your active profile, we cannot always delete records of past interactions and transactions.",Relevant,test
111,does it sell my data to anyone?                                                           ,We (or ourVendorson our behalf) may share yourPersonal Informationas required or permitted by law:,Relevant,test
112,what privacy permissions are requested upon launching the app for the first time?,"Users can disable cookies in their own browser settings, but please note that you may not be able to access certain features on our Website as a result.",Relevant,test
113,can anyone view my account?,Some of our Services allow you to share information with others on a public basis.,Relevant,test
114,does the app continuously track my location?,Your information will not be shared with others and is only used internally for the purposes described below:,Relevant,test
115,how long is information saved,"Once you confirm your request to delete your account and data, your account will no longer be accessible while we process your request.",Relevant,test
116,does the app access my contact list?,"We collect the information to provide you a better service  for example, to:",Relevant,test
117,can groupon see where i am located?                                                       ,Please refer to instructions provided by your mobile service provider or the manufacturer of your device to learn how to adjust your settings.,Relevant,test
118,what do you do to keep my personal information private?,"The transmission of data via the internet is not completely secure, and although we will do our best to protect your personal information, we cannot guarantee the security of your data transmitted to the Site; any transmission is at your own risk.",Relevant,test
119,will any photos i take be accessed by outside parties?,"In order to participate in certain features, you may have to adjust your Privacy settings and share more information.",Relevant,test
120,will my test results be shared with any third party entities?,"To use our genetic testing services, you must purchase, or receive as a gift, a 23andMe Personal Genetic Service testing kit, and ship your saliva sample to our third party laboratory.",Relevant,test
121,do you require me to submit identifying information?,"(e) Additional Information:We collect additional information when you access our App through a certain device (eg your mobile devices unique identifier; information about your devices operating system, your browser, browser or operating system language; your wireless network, and your mobile carrier; the Viber call log).",Relevant,test
122,do you have any association with google?,We use the User-ID feature of Google Analytics to combine behavioral information across devices and sessions (including authenticated and unauthenticated sessions).,Relevant,test
123,do i have to tell you my location?                           ,"We may also collect the precise location of your device when the app is running in the foreground, background, or even if you are not directly using the application depending on your device and its settings.",Relevant,test
124,who will have access to my information?                                                            ,"Facilitate and fulfill orders placed on the Site andOther Programs for example, for Groupon vouchers and other goods and services, including tracking redemption;",Relevant,test
125,does the app sell any personal information?,We use your personal information to pursue our legitimate interests where your rights and freedoms do not outweigh these interests.,Relevant,test
126,what data do you keep and for how long?,"(a) Registration and Account Information:When you use our various Services you voluntarily give us personal information (eg, name, email, birth date, age, phone number and, when necessary, billing information) and you are not anonymous to us.",Relevant,test
127,is my dna information used in any other way besides what is specified?,"This Information is different from ""Individual-level"" information and is not Personal Information because it does not identify any particular individual or disclose any particular individuals data.",Relevant,test
128,who has access to my workout plans?,"We will ask for your explicit consent to share any sensitive personal information such as race, religion, sexual orientation, or health.",Relevant,test
129,what information is collected from me?,"Before you disclose information about a family member, you should make sure you have permission from the family member to do so.",Relevant,test
130,do the app keep track of my location data?                                                ,"We collect your location information, including precise real-time geolocation, such as through look up based on IP address, GPS, Bluetooth, or WiFi signals, consistent with your choice of mobile device settings.",Relevant,test
131,what information do you collect?,"We use that information to enhance user experience, personalize your browsing experience as well as monitor the Site for preventing fraud and inappropriate content or behaviour.",Relevant,test
132,will you ever sell my information?                                                        ,"This Privacy Statement does not cover the collection methods or use of the information collected byThird-Party Ad-Servers, and Groupon is not responsible forCookiesor clear gifs in third party ads.",Relevant,test
133,does groupon sell my personal information?                                                         ,"Use your data as described in ourCard Linked Dealsprogram, if you consented to participate in such program.",Relevant,test
134,how is my data used?,Your posts on public accounts and communities may remain available if you do not delete them.,Relevant,test
135,do you access any of my contact's information?,"For example, we may provide you with advanced training classes with your updated weight and body measurement in aims to help you achieve your training goals smoothly.",Relevant,test
136,what kind of personal info does groupon have on me?                 ,"Non-Identifiable Informationmeans information that alone cannot identify you, including data fromCookies,Pixel Tags and Web Beacons, andDevice Data.",Relevant,test
137,do you require me to submit identifying information?,"(b) Social Media Information:If you sign in to your Viber account through third-party social media sites like Facebook, Twitter or VK, you agree to give us on-going access to your personal information on such sites (eg, your public profile, friend list, accounts you follow or who follow you, your email address, birthday, work history, education history, interests, current city, and video viewing).",Relevant,test
138,can other parties see my information,  We do not sell or rent your personal information to third parties for their marketing purposes without your explicit consent.,Relevant,test
139,what will you do with my dna?,"To conduct surveys or polls, and obtain testimonials We value your feedback and may send you surveys, polls, or requests for testimonials to improve and optimize our Services.",Relevant,test
140,"if it's free, does viber profit off its users in some way?",Your unique advertising identifier is created by your mobile devices operating system and you can change it or choose not to share it at any time.,Relevant,test
141,"will biological data like heart rate, blood pressure, etc. be collected via the app?","When you choose to connect your third party social media account to your Keep account, we may collect certain information from your account with that social media platform  for example, to facilitate your login to Keep App with that account.",Relevant,test
142,will you sell my information?,23andMe will not include your Genetic Information or Self-Reported Information in studies that start more than 30 days after you withdraw (it may take up to 30 days to withdraw your information after you withdraw your consent).,Relevant,test
143,does it collect payment information,Please note that purchases from third parties may also be subject to additional policies.,Relevant,test
144,do you have any association with google?,"help us recognize you when you use our Services; customize and improve your experience; provide security; analyze usage of our Services (such as to analyze your interactions with the results, reports, and other features of the Service); gather demographic information about our user base; offer our Services to you; monitor the success of marketing programs; and serve targeted advertising on our site and on other sites around the Internet.",Relevant,test
145,does it share data with others,Some third-party services providers that we engage (including third-party advertisers) may also place their own Cookies on your device.,Relevant,test
146,does it share my purchase information with others?                                        ,"Send you reminders, technical notices, updates, security alerts, support and administrative messages, service bulletins, marketing messages, and requested information, including on behalf ofBusiness Partners;",Relevant,test
147,what information can the other party see about me?,This includes partners managing our advertising placements and also advertisers themselves and their agencies or third parties managing their advertising demands.,Relevant,test
